sample,fold,method,mae_intensity,normalised_mae,correlation,centre_error_voxels_affine,centre_error_voxels_translation,centre_error_voxels_outer_only
26,0,background,22.827433628318584,0.22827433628318583,-0.017627108876323874,0.29288850754598217,0.0,2.8284271247461903
26,0,global_population,13.354556664496931,0.1335455666449693,0.8090000148708498,0.29288850754598217,0.0,2.8284271247461903
26,0,axisymmetric_population,18.012741826517672,0.18012741826517673,0.5778996957063709,0.29288850754598217,0.0,2.8284271247461903
26,0,nearest_cone,16.25564306298452,0.1625564306298452,0.7224262059494665,0.29288850754598217,0.0,2.8284271247461903
26,0,local_population,14.00844672764157,0.1400844672764157,0.7875712119703672,0.29288850754598217,0.0,2.8284271247461903
27,0,background,21.85250737463127,0.242805637495903,-0.03293181384165033,1.224593462294472,1.0,3.605551275463989
27,0,global_population,15.207760010865972,0.16897511123184414,0.7019316135677892,1.224593462294472,1.0,3.605551275463989
27,0,axisymmetric_population,17.255688098486527,0.1917298677609614,0.5677626994193415,1.224593462294472,1.0,3.605551275463989
27,0,nearest_cone,14.315700847405749,0.15906334274895276,0.7621687061382784,1.224593462294472,1.0,3.605551275463989
27,0,local_population,14.728062716194607,0.16364514129105118,0.7301817721027609,1.224593462294472,1.0,3.605551275463989
28,0,background,22.175147492625367,0.21955591576856798,-0.02902348663052688,1.2249299769296207,1.0,3.605551275463989
28,0,global_population,17.193879083854263,0.1702364265728145,0.6226728806197951,1.2249299769296207,1.0,3.605551275463989
28,0,axisymmetric_population,17.95238978632808,0.1777464335280008,0.5586474511633629,1.2249299769296207,1.0,3.605551275463989
28,0,nearest_cone,18.75073275774468,0.1856508193836107,0.6018967596829187,1.2249299769296207,1.0,3.605551275463989
28,0,local_population,15.686202130095703,0.15530893198114556,0.6930011983127952,1.2249299769296207,1.0,3.605551275463989
29,0,background,21.795353982300885,0.2246943709515555,-0.04530466763204883,1.0239821580572384,1.41421356237308,3.162277660168368
29,0,global_population,16.196000190781938,0.16696907413177256,0.6581771380055408,1.0239821580572384,1.41421356237308,3.162277660168368
29,0,axisymmetric_population,19.37527171965754,0.19974506927482,0.40815715824090193,1.0239821580572384,1.41421356237308,3.162277660168368
29,0,nearest_cone,19.007686723801346,0.19595553323506543,0.5988516312931389,1.0239821580572384,1.41421356237308,3.162277660168368
29,0,local_population,16.082428458363164,0.16579823152951717,0.6586373884443669,1.0239821580572384,1.41421356237308,3.162277660168368
31,0,background,22.033554572271388,0.20984337687877513,0.010348222612115541,0.3975569606088713,0.5,2.5
31,0,global_population,14.48888776850758,0.1379894073191198,0.7773040833155771,0.3975569606088713,0.5,2.5
31,0,axisymmetric_population,16.47919411774836,0.15694470588331771,0.6597046204300642,0.3975569606088713,0.5,2.5
31,0,nearest_cone,14.21487515999712,0.135379763428544,0.7979656532058035,0.3975569606088713,0.5,2.5
31,0,local_population,13.601529269840274,0.1295383739984788,0.8112415054530527,0.3975569606088713,0.5,2.5
33,0,background,22.548672566371682,0.22776436935728972,-0.033517518649266775,2.1978745490426337,2.0,4.472135954999586
33,0,global_population,20.6071009862396,0.2081525352145414,0.426221556907372,2.1978745490426337,2.0,4.472135954999586
33,0,axisymmetric_population,19.573010329267,0.197707175043101,0.45828064733064827,2.1978745490426337,2.0,4.472135954999586
33,0,nearest_cone,18.925658784410043,0.1911682705495964,0.606448159403849,2.1978745490426337,2.0,4.472135954999586
33,0,local_population,19.424463881587524,0.19620670587462147,0.5196442546745975,2.1978745490426337,2.0,4.472135954999586
36,0,background,23.25811209439528,0.22802070680779685,-0.09124978578294736,2.6494370325817416,2.23606797749979,4.123105625617661
