facet_id,x_vox,y_vox,z_vox,normal_x,normal_y,normal_z,persistence_hits_of_5
0,239.9615936279297,447.0,352.0,0.28172044789545075,0.5902756110006695,0.7564445070825573,5
1,198.78724670410156,257.0,465.0,0.24296106907057805,0.39004601375503617,0.8881632879543536,5
2,208.96499633789062,245.0,467.0,0.26826139471626037,0.37829662240890494,0.8859613363905341,4
4,210.1174774169922,316.0,435.0,0.254451938142516,0.4100269188462749,0.875860797728125,5
5,217.83819580078125,302.0,439.0,0.276623191137275,0.40347072745406865,0.8721760041486553,4
7,208.41656494140625,226.0,475.0,0.2766258713445736,0.3655470584582281,0.8887370113567861,5
8,220.75782775878906,328.0,426.0,0.27755775921680625,0.41674533517171236,0.8656125091004417,5
9,223.90284729003906,349.0,415.0,0.26622926628363275,0.4279671204068101,0.8636933029871087,5
10,234.2308807373047,433.0,364.0,0.26018949633901023,0.5452025221253419,0.7969037808060758,5
11,228.95584106445312,414.0,378.0,0.2648011718696366,0.5073429800944089,0.8200508764249883,5
12,238.073974609375,400.0,383.0,0.29107090620115766,0.48242373400222394,0.8261628583000984,5
13,246.459228515625,369.0,397.0,0.3243168010721368,0.430463548273626,0.8423299508803042,5
14,233.35179138183594,385.0,393.0,0.28434778370279695,0.45168022389099766,0.8456543698515876,5
15,282.8338623046875,235.0,443.0,0.3530592480962117,0.27359182608896043,0.8947048004962562,5
16,283.4678039550781,254.0,433.0,0.4101730262798953,0.3286528897549985,0.8507322531608175,5
17,334.5136413574219,427.0,313.0,0.4974981452828036,0.5368965732310725,0.6813498844888006,5
20,322.67938232421875,220.0,423.0,0.5162225237397537,0.32803477479769966,0.7911431555080167,5
22,341.22332763671875,414.0,317.0,0.5273262821440062,0.497474284665456,0.6888006447853928,5
23,326.14080810546875,349.0,365.0,0.5227335855156012,0.35843016254142107,0.7734839475739197,5
25,336.5234680175781,381.0,341.0,0.5423520797210966,0.40093801205944346,0.7383108641405888,5
26,347.8052673339844,382.0,332.0,0.5611365300679334,0.4206040918964705,0.7128940962746603,5
27,295.41656494140625,100.0,479.0,0.48484205861465285,0.2021679525110263,0.8509149764669822,5
28,310.8161926269531,188.0,442.0,0.5007565470725139,0.31041312751496697,0.808013966977298,4
