threshold,matched_facets,median_normal_change_degrees,p95_normal_change_degrees
45,111,0.0778001941583004,1.1974437244615408
55,116,0.08475343754766458,1.1327054111217976
60,116,0.21943239480773546,1.816229402674476
65,112,0.5161457795759338,1.6549860747280039
70,113,0.6571659689577547,1.953994003737226
