cone_id,method,normalised_mae,correlation,path_shift_voxels,straight_fit_rmse_voxels,quadratic_fit_rmse_voxels
1,local_depth_background,0.48307922584765645,0.08145578397195823,5.1865316790024965,0.5237848146349574,0.5056012438422096
1,surface_normal_static,0.4136909986238477,0.21064013021503705,5.1865316790024965,0.5237848146349574,0.5056012438422096
1,oracle_fitted_straight_axis,0.28191906849906906,0.8122954380153549,5.1865316790024965,0.5237848146349574,0.5056012438422096
1,oracle_fitted_quadratic_axis,0.28200789399035553,0.8127814379134436,5.1865316790024965,0.5237848146349574,0.5056012438422096
1,raw_manual_path,0.2740130370687197,0.7390009884893819,5.1865316790024965,0.5237848146349574,0.5056012438422096
1,permuted_quadratic_axis,0.2961903369941206,0.6446614588496801,5.1865316790024965,0.5237848146349574,0.5056012438422096
2,local_depth_background,0.3990544915483463,-0.0002959589083404284,4.392479096693389,0.5834975630811843,0.5616928524243404
2,surface_normal_static,0.3528444786260862,0.1995135933187061,4.392479096693389,0.5834975630811843,0.5616928524243404
2,oracle_fitted_straight_axis,0.1497831891903626,0.8037775477469636,4.392479096693389,0.5834975630811843,0.5616928524243404
2,oracle_fitted_quadratic_axis,0.14643713417663112,0.813705015213278,4.392479096693389,0.5834975630811843,0.5616928524243404
2,raw_manual_path,0.2000132441450872,0.6700622978962625,4.392479096693389,0.5834975630811843,0.5616928524243404
2,permuted_quadratic_axis,0.2848996090768596,0.3538960964796982,4.392479096693389,0.5834975630811843,0.5616928524243404
3,local_depth_background,0.3232516349914306,-0.18670212288054047,3.325187686789792,0.40249464635162147,0.3934934452773162
3,surface_normal_static,0.2707164494391206,0.3131216797762174,3.325187686789792,0.40249464635162147,0.3934934452773162
3,oracle_fitted_straight_axis,0.2044004563059246,0.6858450230409315,3.325187686789792,0.40249464635162147,0.3934934452773162
3,oracle_fitted_quadratic_axis,0.2073960224380563,0.6754614377578952,3.325187686789792,0.40249464635162147,0.3934934452773162
3,raw_manual_path,0.23507303902142015,0.5791054314661512,3.325187686789792,0.40249464635162147,0.3934934452773162
3,permuted_quadratic_axis,0.2721443472031812,0.411117563327036,3.325187686789792,0.40249464635162147,0.3934934452773162
4,local_depth_background,0.31485058752665374,0.004743500291449418,6.376954358939361,0.4590648511591149,0.4178214628115662
4,surface_normal_static,0.33764351777305956,0.26296879502784337,6.376954358939361,0.4590648511591149,0.4178214628115662
4,oracle_fitted_straight_axis,0.35139237992000094,0.731050983612178,6.376954358939361,0.4590648511591149,0.4178214628115662
4,oracle_fitted_quadratic_axis,0.36081298434829695,0.7278932440553592,6.376954358939361,0.4590648511591149,0.4178214628115662
4,raw_manual_path,0.40096001749006627,0.6861341243918728,6.376954358939361,0.4590648511591149,0.4178214628115662
4,permuted_quadratic_axis,0.4103856750438708,0.4172602458104393,6.376954358939361,0.4590648511591149,0.4178214628115662
5,local_depth_background,0.5317570366971319,-0.11106979674789266,4.873018033702091,0.45036511883001257,0.40769201765278934
5,surface_normal_static,0.5581229528311321,-0.12351919874298418,4.873018033702091,0.45036511883001257,0.40769201765278934
5,oracle_fitted_straight_axis,0.3167770238851432,0.4567073304240774,4.873018033702091,0.45036511883001257,0.40769201765278934
5,oracle_fitted_quadratic_axis,0.31870777642868625,0.4698921358474046,4.873018033702091,0.45036511883001257,0.40769201765278934
5,raw_manual_path,0.3222479211951263,0.4156961845462076,4.873018033702091,0.45036511883001257,0.40769201765278934
5,permuted_quadratic_axis,0.33558088917499673,0.4267655235024073,4.873018033702091,0.45036511883001257,0.40769201765278934
