region,track,reference_depth,start_depth,stop_depth,length,line_blocked_cv_voxels,quadratic_blocked_cv_voxels,quadratic_minus_line_voxels,quadratic_wins,curvature_rms_voxels,curvature_rms_micrometres,candidate_tilt_degrees,spans_old_outer_to_internal
1,5,20,17,33,17,0.7305704634590062,0.9798509589874003,0.24928049552839404,False,0.24559804519935016,0.2652458888152982,18.505866207597883,False
1,11,20,17,60,44,0.835588483157292,0.9547840225854171,0.11919553942812511,False,0.2796959004934961,0.3020715725329758,17.55154923506054,False
1,15,20,12,26,15,1.4110564898939844,1.0248630339683376,-0.3861934559256468,True,0.7056095201622655,0.7620582817752468,15.871881722581886,False
1,21,20,10,26,17,1.5911769104678999,1.3120155365375141,-0.27916137393038576,True,0.9886443204833447,1.0677358661220124,7.1236606228287656,False
1,28,20,8,26,19,1.8394779526599367,1.481822280543203,-0.35765567211673366,True,1.1139674664104398,1.203084863723275,19.647620381233914,True
1,30,20,16,46,31,1.9968475154602963,3.1437152544034994,1.1468677389432032,False,0.45301245442099003,0.48925345077466925,27.978460632054492,False
1,31,20,10,28,19,1.1996836829465343,1.0745861210866914,-0.1250975618598429,True,0.5021737086908817,0.5423476053861523,14.89431829305264,False
1,32,20,9,25,17,1.4230238863212519,1.2050184004775726,-0.2180054858436793,True,0.5302209731211412,0.5726386509708326,12.132504157208395,True
1,37,20,11,27,17,2.187917331281218,1.0715120135255796,-1.1164053177556386,True,1.0695548943125897,1.155119285857597,10.883617064855475,False
1,38,20,17,60,44,0.6512987533658979,0.6161634612336924,-0.035135292132205564,True,0.2935597279812179,0.3170445062197153,19.381183078500975,False
1,39,20,9,42,34,1.9649333867513692,1.1187348442035718,-0.8461985425477974,True,1.120188130313607,1.2098031807386955,13.98919898547272,True
1,40,20,17,60,44,2.3565233146884283,1.0436307848228825,-1.3128925298655458,True,1.225566731638072,1.3236120701691179,13.888064652501406,False
1,43,20,15,60,46,1.0776332780264835,1.2777193691323374,0.20008609110585396,False,0.3517946700610265,0.3799382436659086,16.948190424638796,False
1,49,20,16,43,28,0.49040504357327885,0.5920507154087231,0.10164567183544426,False,0.14898341488348296,0.16090208807416162,14.24180768161735,False
1,52,20,6,23,18,1.5746382554015932,2.5588251041610333,0.9841868487594401,False,0.7527104509513448,0.8129272870274524,14.300727005905628,True
1,53,20,0,57,58,4.060419376877174,2.3496417536337693,-1.710777623243405,True,2.8060293496402022,3.0305116976114186,11.831305817115537,True
1,55,20,6,25,20,1.5782707967069771,2.875300696344394,1.2970298996374168,False,0.6070356277523457,0.6555984779725333,16.610797581061377,True
1,56,20,12,27,16,1.545325194176058,0.9585548480862347,-0.5867703460898233,True,1.2724911123274536,1.3742904013136499,7.144509096765903,False
1,61,20,16,60,45,0.6466274733581237,0.5128813944100562,-0.13374607894806745,True,0.29569094985069194,0.31934622583874733,16.801846931179014,False
1,64,20,16,51,36,0.5907010129430003,0.8428793521560648,0.25217833921306454,False,0.28180124847226995,0.30434534835005156,16.937384280190578,False
1,65,20,17,41,25,0.6618964391328603,0.6700551317469364,0.00815869261407609,False,0.30557923627029987,0.3300255751719239,17.965554911765132,False
1,67,20,9,28,20,1.5805293492565906,0.8088536046899051,-0.7716757445666855,True,1.0117967320673174,1.0927404706327029,9.453703839259019,True
1,68,20,12,26,15,1.5224488619782646,0.717350498284998,-0.8050983636932666,True,0.6795908414948847,0.7339581088144755,10.941424215940012,False
1,73,20,16,30,15,0.6121622207657494,0.8629431724315677,0.25078095166581826,False,0.1434547222783725,0.1549311000606423,7.090389363362821,False
1,74,20,17,53,37,0.6178785352685838,1.1293562893162552,0.5114777540476714,False,0.1633428258095955,0.17641025187436316,16.76356246117478,False
1,75,20,6,26,21,1.4145910063910454,1.1070443364939813,-0.30754666989706414,True,0.630148556479344,0.6805604409976915,15.593611895156576,True
1,77,20,15,29,15,1.0178616018829238,0.7015345900869363,-0.31632701179598754,True,0.7329007950458613,0.7915328586495302,14.000423429681902,False
1,78,20,8,27,20,1.784066404774525,2.4942722456615205,0.7102058408869956,False,0.712003645467986,0.7689639371054249,20.740013274470495,True
1,84,20,14,45,32,1.1790487432006256,0.9384297200899723,-0.2406190231106533,True,0.9815752674178048,1.0601012888112291,17.029152757515945,False
1,86,20,15,60,46,0.6966986345069108,0.8843769493118048,0.18767831480489394,False,0.20676853502970222,0.2233100178320784,16.001835492584643,False
1,96,20,16,60,45,0.7672232546423775,0.6221349822537274,-0.14508827238865007,True,0.38190799452811514,0.4124606340903644,17.54201739043532,False
1,99,20,8,24,17,2.020700895316071,0.8683163590695296,-1.1523845362465415,True,1.2887825105020465,1.3918851113422104,18.58471439355238,True
1,103,20,17,34,18,0.5244649639216822,0.8459376908534793,0.32147272693179707,False,0.21217504793237432,0.2291490517669643,14.913185214002212,False
1,106,20,12,26,15,1.3952893962472583,1.3626622351152378,-0.03262716113202058,True,0.7803393295378552,0.8427664759008837,15.197117000147633,False
1,107,20,10,27,18,1.367207113111665,1.0425633108352357,-0.3246438022764293,True,0.6175138365269158,0.6669149434490691,23.795331811043262,False
1,116,20,15,29,15,0.7905694150420611,0.9734419719685297,0.18287255692646853,False,0.33458072999717714,0.36134718839695135,3.7677096684639566,False
1,119,20,16,60,45,0.6382983135116652,0.5288206650253817,-0.1094776484862835,True,0.27755991532093005,0.2997647085466045,16.039273051429937,False
1,122,20,15,29,15,1.7027094489081955,0.8272852146909788,-0.8754242342172167,True,0.8703056630505303,0.9399301160945728,14.201562096241075,False
1,125,20,18,37,20,0.7875253971747481,1.1688583609349914,0.3813329637602433,False,0.07996139989253541,0.08635831188393825,15.596858159877746,False
1,129,20,8,25,18,1.9089151657459547,2.5162147531674743,0.6072995874215197,False,0.4188225387006617,0.45232834179671466,9.33941374990949,True
1,133,20,16,60,45,0.8624620975644928,0.7749181275748555,-0.08754396998963732,True,0.3550433160692536,0.38344678135479393,15.002260401286074,False
1,134,20,16,46,31,1.9547051325135738,2.0293048616857376,0.07459972917216384,False,1.0217933573517133,1.1035368259398504,4.3645658998513,False
1,138,20,0,60,61,3.4508721772676667,2.4633381912117076,-0.9875339860559591,True,1.690811840851199,1.826076788119295,11.693136437712596,True
1,141,20,12,27,16,1.8329964048013054,0.8883117611810576,-0.9446846436202478,True,1.0295549370224653,1.1119193319842626,3.897248259710433,False
1,153,20,16,40,25,2.100290328259101,2.947723755637783,0.8474334273786819,False,0.6277326733401227,0.6779512872073326,12.707868190975141,False
1,159,20,8,26,19,1.553980484994256,2.007981128814001,0.4540006438197448,False,0.30218496103711096,0.3263597579200799,14.386573343896846,True
1,160,20,15,31,17,0.7766363800111203,0.7265431798253273,-0.050093200185792996,True,0.3498857251158336,0.3778765831251003,13.031413455690581,False
1,162,20,8,25,18,2.310104833511917,0.44737974001389647,-1.8627250934980206,True,1.4169415005539419,1.5302968205982572,21.444562141830268,True
1,164,20,10,26,17,1.8660945581324087,1.115918565404162,-0.7501759927282468,True,0.7451251963982615,0.8047352121101224,12.198871161893294,False
1,167,20,17,53,37,0.6535023269860788,0.43003203806397966,-0.22347028892209914,True,0.3146824193632637,0.3398570129123248,16.00404151266144,False
1,169,20,7,24,18,1.0624474278841622,1.8254080765165068,0.7629606486323446,False,0.9282284180227002,1.0024866914645163,14.079232873852042,True
1,171,20,16,54,39,2.5272920578817164,1.2541927580793155,-1.2730992998024009,True,1.415898969316256,1.5291708868615566,3.3046023918153313,False
1,197,20,8,25,18,1.4946140349257164,1.3440434700222803,-0.15057056490343612,True,0.6849924343902005,0.7397918291414166,21.810825333048765,True
1,198,20,15,35,21,0.42774909778681347,0.3877947774696935,-0.039954320317119985,True,0.271795955352674,0.29353963178088793,12.805074669239765,False
1,204,20,16,60,45,0.6135306860216443,0.6781017291682115,0.06457104314656725,False,0.24053440742005683,0.2597771600136614,17.68122745587695,False
1,205,20,3,26,24,2.3338389553868417,2.588574430556983,0.25473547517014117,False,0.8400270839926284,0.9072292507120387,17.962621110889703,True
1,213,20,4,26,23,2.3793923922623033,2.05677223218549,-0.32262016007681327,True,1.3751550754731923,1.4851674815110478,21.292062476399938,True
