mask,method,median_facet_MAE_um,p90_facet_MAE_um,facets
central_disk,canonical_uncalibrated,13.212021369017776,24.626751548971942,72
central_disk,hierarchical_guarded,2.9921974743542985,6.091370334346358,72
central_disk,hierarchical_template_residual,3.163356767633309,6.3251171077777935,72
central_disk,local_quadratic,3.488509178634912,6.511546092319784,72
central_disk,local_rbf,3.242687743584991,6.322991223764014,72
central_disk,template_calibrated,3.793069429825967,7.250542360232018,72
diagonal_band,canonical_uncalibrated,13.353921695061894,22.035399935959482,74
diagonal_band,hierarchical_guarded,2.9660479003373657,4.631371102066077,74
diagonal_band,hierarchical_template_residual,2.9915293123669287,4.637654506336752,74
diagonal_band,local_quadratic,4.048712478673831,5.8346680885058655,74
diagonal_band,local_rbf,3.0059591781347312,4.622317192172849,74
diagonal_band,template_calibrated,4.499773388613244,7.117281856750465,74
half_plane,canonical_uncalibrated,11.997588472369232,21.17874971019295,74
half_plane,hierarchical_guarded,6.006859330016589,9.643324198931069,74
half_plane,hierarchical_template_residual,282.7103462483151,796.1647122751245,74
half_plane,local_quadratic,11.791028920550463,31.312453944125746,74
half_plane,local_rbf,282.9450294019091,809.1949857404937,74
half_plane,template_calibrated,5.608121803024236,8.82431549383976,74
offset_disk_confirmation,canonical_uncalibrated,12.249129270394473,23.691631915462533,68
offset_disk_confirmation,hierarchical_guarded,2.772928325219595,5.192268233337613,68
offset_disk_confirmation,hierarchical_template_residual,3.053945383735753,5.0212988125290225,68
offset_disk_confirmation,local_quadratic,3.65285859770237,6.617628822667161,68
offset_disk_confirmation,local_rbf,3.1721745051234347,5.027566113908515,68
offset_disk_confirmation,template_calibrated,4.3059295623180915,8.035549123569753,68
quadrant,canonical_uncalibrated,11.97689334347568,21.208398877920576,74
quadrant,hierarchical_guarded,4.729305223599067,8.804170021396994,74
quadrant,hierarchical_template_residual,15.631849836169746,42.856419628110594,74
quadrant,local_quadratic,5.961770860127934,9.446775250348495,74
quadrant,local_rbf,16.239444331317998,44.16433793298841,74
quadrant,template_calibrated,4.912386854586366,8.737011805492667,74
