method,median_facet_MAE_um,p90_facet_MAE_um,facets
six_neighbor_prior,6.586100404049793,12.273401144914878,74
quadratic_surface_fixed,10.662909474440621,17.603045578778985,74
flat_depth,10.953385983568754,18.093310657652086,74
