method,median_facet_MAE_um,p90_facet_MAE_um,normalized_median_error,blocks_won,median_calibrated_half_width_um,median_facet_point_coverage
position_smoother,8.005710339200753,17.729048948010533,0.1442470331387523,3,23.891899378269976,1.0
six_neighbor_prior,8.099783328221985,11.998547779037175,0.14594204194994567,1,20.306826824117227,0.9922480620155039
position_plus_outer,8.166058542534142,19.955255994017904,0.14713618995557012,1,29.039133371749326,1.0
outer_curvature,10.887891435483134,18.158026165485175,0.19617822406275917,0,30.96067625999163,1.0
axisymmetric_ellipsoid,12.884823750995459,20.870916053306566,0.23215898650442268,0,28.716893299108726,1.0
repeat_template,12.936771268896804,20.838259589283354,0.23309497781796043,0,28.537753407531575,0.9948186528497409
quadratic_surface,12.940074550912435,20.876807335628936,0.23315449641283667,0,28.762582833093617,1.0
local_outer_curvature,13.086283731083476,21.800261230906596,0.23578889605555814,0,28.32731405831908,1.0
flat_depth,14.045444879642236,22.342796688968495,0.2530710789124727,0,30.4940117035065,1.0
