audit,volume_axis_sigma_vox,surface_threshold,surface_smoothing_sigma_vox,median_normal_change_degrees,p95_normal_change_degrees,maximum_normal_change_degrees,maximum_pairwise_span_degrees,median_adjacent_normal_angle_degrees,p95_adjacent_normal_angle_degrees,spherical_hull_solid_angle_sr,single_hemisphere
threshold_and_surface_smoothing,1.0,45,1.0,0.39939401381900264,1.1076750104590887,3.6431805739900667,36.567563002780915,2.438459510025604,5.0191447979743495,0.17814475434364768,True
threshold_and_surface_smoothing,1.0,45,2.0,0.0687158623425268,0.13623963559086585,0.9554511181021653,34.552007697334474,2.334746849486222,4.544103052337896,0.16416441835008086,True
threshold_and_surface_smoothing,1.0,45,4.0,0.5970581260087284,1.3127109698786592,4.917350739890025,35.09328813718266,2.0665466288894963,3.914739411711217,0.15990040596532762,True
threshold_and_surface_smoothing,1.0,45,8.0,0.8118690677782612,1.688055599793578,6.125135492804499,35.59089901863836,1.9614214144327498,3.8833011193434106,0.16501717328483398,True
threshold_and_surface_smoothing,1.0,45,12.0,0.7653656728614793,1.629409962538731,5.918261809696204,34.431964769392,1.9444872201766898,3.8162528702919913,0.15924391489273496,True
threshold_and_surface_smoothing,1.0,45,15.0,0.8098817642750551,1.5967198248347902,5.641483828427126,33.28601763984062,1.951752566696717,3.7900525162895926,0.15270305085389052,True
threshold_and_surface_smoothing,1.0,50,1.0,0.3774085523900691,1.1693279233119578,5.847669837043334,36.968807776681324,2.450067096090937,4.986701345138458,0.19170607603460496,True
threshold_and_surface_smoothing,1.0,50,2.0,0.0,0.0,0.0,34.642111168906574,2.309158545356195,4.582785230071331,0.16684158329878607,True
threshold_and_surface_smoothing,1.0,50,4.0,0.5779301654548223,1.2990575014898291,4.868449835306844,35.1918359762023,2.0493998198314536,3.978712205104699,0.1602497553286246,True
threshold_and_surface_smoothing,1.0,50,8.0,0.8265777543889352,1.6747080936238021,6.1141182052585785,35.776056503830915,1.9484500153052569,3.8969068536698113,0.16595567860275934,True
threshold_and_surface_smoothing,1.0,50,12.0,0.7699315765137912,1.6227087671760638,5.905885217120517,34.643735152974585,1.9423788682194765,3.8173858980264606,0.16064752902195795,True
threshold_and_surface_smoothing,1.0,50,15.0,0.8146202638072302,1.590932995431726,5.629893928749445,33.464894968754784,1.9501327710184388,3.791421489479339,0.15402608078618035,True
threshold_and_surface_smoothing,1.0,55,1.0,0.41712524437381593,1.2377228080082936,5.899465974772342,37.46992858112185,2.488524784781495,5.017801405392991,0.19279632970360353,True
threshold_and_surface_smoothing,1.0,55,2.0,0.07353852053175869,0.13848418585310687,0.70260346142704,34.74573769621807,2.3122924703968004,4.606807895179828,0.165505759517377,True
