scenario,axis_from,axis_towards,magnitude,determinant,median_normal_change_degrees,p95_normal_change_degrees,maximum_normal_change_degrees,maximum_pairwise_span_degrees,median_adjacent_normal_angle_degrees,p95_adjacent_normal_angle_degrees,spherical_hull_solid_angle_sr,single_hemisphere
principal_axis_scaling,1,,-0.19999999999999996,0.8000000000000013,0.9512760569376524,2.1395445980669,3.7244408856180984,38.59449554641735,2.4406929458969984,4.678028397520593,0.20633078765138874,True
principal_axis_scaling,1,,-0.09999999999999998,0.9000000000000014,0.4230811870302068,0.9543113779542468,1.6745652215477238,36.36283372471717,2.3657220941775297,4.662351271881738,0.18454585084239372,True
principal_axis_scaling,1,,0.10000000000000009,1.1000000000000019,0.3464700867378779,0.7844801754918365,1.3914642848886019,33.379298086023795,2.2609644683002172,4.508726769062416,0.15218692947301163,True
principal_axis_scaling,1,,0.19999999999999996,1.2000000000000022,0.6353907117216115,1.4405301200337899,2.5647269641499597,32.785609994818934,2.222688894433422,4.4046336755399045,0.1398665169881363,True
principal_axis_scaling,2,,-0.19999999999999996,0.8000000000000013,2.103409837243997,3.5298063144518474,3.7470487791661284,40.273735172970035,2.730814838862348,5.370470760643755,0.20528578034631353,True
principal_axis_scaling,2,,-0.09999999999999998,0.9000000000000014,0.9380779967687203,1.585005378352359,1.6849942355520906,36.74812545754847,2.4845392511926394,4.943576207763213,0.1841503821503203,True
principal_axis_scaling,2,,0.10000000000000009,1.100000000000002,0.7710093166582375,1.3147236935144393,1.4004308636629321,33.110775453137606,2.1506271983060583,4.261060351285126,0.15243272324462698,True
principal_axis_scaling,2,,0.19999999999999996,1.200000000000002,1.4157139300696773,2.4217769173696087,2.581449366395133,31.88421844214911,2.0434105887950342,3.9227296056659613,0.14026664598103017,True
principal_axis_scaling,3,,-0.19999999999999996,0.8000000000000013,1.9374132393018586,3.101230125304471,3.674003766481415,28.054450602648195,1.8609490102363253,3.7337537709338955,0.10866216102575457,True
principal_axis_scaling,3,,-0.09999999999999998,0.9000000000000015,0.9661531840221174,1.539703067404751,1.8182944456033006,31.37813400797952,2.086299111346155,4.164207912076759,0.13638665614454026,True
principal_axis_scaling,3,,0.10000000000000009,1.1000000000000016,0.960541521273472,1.516158564685071,1.77845252060019,37.842212302007255,2.5322101081754225,4.988636059190457,0.19987197006280963,True
principal_axis_scaling,3,,0.19999999999999996,1.200000000000002,1.9149850495845944,3.0072359288203576,3.5150474979091753,40.974869952397455,2.754444394179701,5.381030822538481,0.23531659953751694,True
principal_axis_shear,1,2,-0.2,1.0000000000000016,0.7443858422320144,1.7192854571377862,3.1374254628693445,31.671759550802193,2.2905908129018595,4.493320155277379,0.1673288898884534,True
principal_axis_shear,1,2,-0.1,1.0000000000000016,0.37160903307383475,0.8573364834156063,1.5617867905302658,33.04049887622632,2.291381065232851,4.506769805183249,0.16711543170917675,True
principal_axis_shear,1,2,0.1,1.0000000000000016,0.37041564024060414,0.8523808257688705,1.5458295691323514,36.300524584891114,2.3685197078681517,4.661875768086286,0.166508525824432,True
principal_axis_shear,1,2,0.2,1.0000000000000016,0.7396128336242709,1.6994754850062754,3.0737320529906187,38.00297622483475,2.4164617385670333,4.699795723949687,0.1661176756086005,True
principal_axis_shear,1,3,-0.2,1.0000000000000016,0.1213369543516402,0.4118344298758463,1.1109638086109963,35.32577028892092,2.2871101409557673,4.441136681183654,0.17148663943110662,True
principal_axis_shear,1,3,-0.1,1.0000000000000013,0.06071555308024411,0.20379725427816256,0.5406866844028806,34.966556000052826,2.306068580062837,4.496717669253345,0.16903493456483906,True
principal_axis_shear,1,3,0.1,1.0000000000000016,0.060605845568915254,0.19989235825196958,0.513251855336326,34.35047748688421,2.330844650223743,4.669050610888604,0.16489122806483142,True
principal_axis_shear,1,3,0.2,1.0000000000000016,0.12142439876101309,0.39709871370384775,1.0010288636481053,34.08990196324593,2.3650884048596117,4.67056285078311,0.16317045984796966,True
principal_axis_shear,2,1,-0.2,1.0000000000000016,1.7107169377034666,2.97811499113741,3.185867015931927,32.27740581957279,2.3081121092254255,4.564695967236654,0.16726715737973358,True
principal_axis_shear,2,1,-0.1,1.0000000000000013,0.8552277563924657,1.4872523778331161,1.5904620675975458,33.050891433093085,2.3015602714414363,4.5205031239801245,0.16710000336105837,True
principal_axis_shear,2,1,0.1,1.0000000000000013,0.8545878557495498,1.48166093999932,1.5854147489868813,36.31003674697103,2.3743417047683075,4.6667275488841105,0.16649316608385173,True
principal_axis_shear,2,1,0.2,1.0000000000000016,1.7081590576267929,2.9580489320545684,3.1699372287556375,38.03939124791894,2.449270738653772,4.754589005510637,0.16605649057874494,True
principal_axis_shear,2,3,-0.2,1.0000000000000016,0.2917005993883792,0.8306414347444935,0.9763837541484418,34.77524608919483,2.4121497779333874,4.944323298379508,0.167126044545114,True
principal_axis_shear,2,3,-0.1,1.0000000000000016,0.14363821526456702,0.4059041663831543,0.47488523068440325,34.692734752205155,2.369880197934485,4.760847157671867,0.16680339657007612,True
principal_axis_shear,2,3,0.1,1.0000000000000016,0.13940770932773977,0.4001471258326451,0.4502752804838242,34.62263281971069,2.2654676451997764,4.414736408636021,0.16723815716120397,True
principal_axis_shear,2,3,0.2,1.0000000000000018,0.2747675324746446,0.7970648178081403,0.9248054374249172,34.63371285971837,2.205216311212153,4.315323554147458,0.16799419001986798,True
principal_axis_shear,3,1,-0.2,1.0000000000000016,11.038312454804998,11.342330716147355,11.393289460236252,34.3603692110299,2.2403533027084004,4.358309285753631,0.1619445461249811,True
principal_axis_shear,3,1,-0.1,1.0000000000000013,5.585401088262909,5.704035686282832,5.718786731810784,34.725380183328504,2.292146332357154,4.473330206521949,0.16662240684786625,True
principal_axis_shear,3,1,0.1,1.0000000000000016,5.631456369149566,5.7153962816325805,5.723792038248864,34.12001390912121,2.318159165686275,4.64322000912465,0.16257124589147526,True
principal_axis_shear,3,1,0.2,1.0000000000000018,11.208282857337304,11.391408041242922,11.413990494608761,33.20746201030842,2.3008779969635023,4.584835495282801,0.1543401188667793,True
principal_axis_shear,3,2,-0.2,1.0000000000000016,11.31961787368179,11.415826804778606,11.42117538554568,33.80252261312224,2.3344190311248365,4.760459963665365,0.15800322877850023,True
