family,spatial_median_MAE_um,augmented_median_MAE_um,median_paired_improvement_um,blocks_improved,block_sign_flip_p
surface_shape,6.791535329283146,6.593707647566372,0.0943381062006372,3,1.0
all_outer,6.791535329283146,6.639531187657845,0.09861829024609925,3,0.6875
outer_shell,6.791535329283146,6.823659316196128,0.0179814148507611,3,0.75
current_geometry,6.791535329283146,6.894904119945986,0.06078763632359285,4,1.0
