cv_block,spatial_MAE_um,augmented_MAE_um,improvement_um,facets,family
0,5.807368316255474,5.825639534730991,-0.35348501802789256,14,all_outer
1,7.528134033808781,7.20276530867136,0.2795259039724165,15,all_outer
2,8.00806541821953,7.746334807013692,-0.5466388973428304,6,all_outer
3,6.463228056344474,6.306802484655287,0.11536881769504292,26,all_outer
4,8.043476942142712,6.784216470989569,0.10340119876838294,13,all_outer
0,5.807368316255474,5.242650041258374,0.0370731405657736,14,current_geometry
1,7.528134033808781,7.5456881227739,0.041652394674958515,15,current_geometry
2,8.00806541821953,14.8848311742581,-7.253960352656386,6,current_geometry
3,6.463228056344474,6.165974725211878,0.1297239108695294,26,current_geometry
4,8.043476942142712,7.03435806406646,0.3049510213246993,13,current_geometry
0,5.807368316255474,5.754458592611614,-0.11722545716002974,14,outer_shell
1,7.528134033808781,7.509422421997012,0.011898283295393774,15,outer_shell
2,8.00806541821953,13.768069126417316,-6.568373216746455,6,outer_shell
3,6.463228056344474,5.684131024078093,0.04447426630637796,26,outer_shell
4,8.043476942142712,6.8515704369875685,0.32044041443506455,13,outer_shell
0,5.807368316255474,5.887768906925238,-0.1326666123707576,14,surface_shape
1,7.528134033808781,7.483195575460899,0.48162407663353335,15,surface_shape
2,8.00806541821953,7.989969973812389,-0.6228780691792855,6,surface_shape
3,6.463228056344474,6.296390736845406,0.06621776949380154,26,surface_shape
4,8.043476942142712,6.945805963286276,0.21298274850391508,13,surface_shape
