lens_id,block,z,x,radius_voxels,target_valid,method,mae_voxels,true_median_axial_thickness_voxels,predicted_nonpositive_thickness_fraction
0,0,268,201,22.502000543248958,True,outer_ellipsoid,26.17132901892562,23.39887969578058,0.0
0,0,268,201,22.502000543248958,True,training_shape_template,1.4965924689668197,23.39887969578058,0.0
0,0,268,201,22.502000543248958,True,outer_geometry_ridge,2.065592523072049,23.39887969578058,0.0
1,0,270,75,20.6848374772632,False,outer_ellipsoid,,,0.0
1,0,270,75,20.6848374772632,False,training_shape_template,,,0.0
1,0,270,75,20.6848374772632,False,outer_geometry_ridge,,,0.0
2,0,273,366,21.147810196821887,True,outer_ellipsoid,22.044841902355994,21.117919717334786,0.0
2,0,273,366,21.147810196821887,True,training_shape_template,2.459997111772209,21.117919717334786,0.0
2,0,273,366,21.147810196821887,True,outer_geometry_ridge,1.8591119075815528,21.117919717334786,0.0
3,0,274,408,21.752975768800002,True,outer_ellipsoid,20.40847309162523,21.855499504108764,0.0
3,0,274,408,21.752975768800002,True,training_shape_template,1.3800442107363045,21.855499504108764,0.0
3,0,274,408,21.752975768800002,True,outer_geometry_ridge,1.0472725389524506,21.855499504108764,0.0
4,0,277,156,21.853410892855113,True,outer_ellipsoid,24.28806691041742,23.0,0.0
4,0,277,156,21.853410892855113,True,training_shape_template,1.9134327143494738,23.0,0.0
4,0,277,156,21.853410892855113,True,outer_geometry_ridge,1.3671469724597312,23.0,0.0
5,0,280,324,21.289668856043768,True,outer_ellipsoid,21.555512347385815,21.948467816156608,0.0
5,0,280,324,21.289668856043768,True,training_shape_template,1.983116775381359,21.948467816156608,0.0
5,0,280,324,21.289668856043768,True,outer_geometry_ridge,1.3401595596077183,21.948467816156608,0.0
6,0,287,282,21.783169132994615,True,outer_ellipsoid,23.866834542645933,22.0,0.0
6,0,287,282,21.783169132994615,True,training_shape_template,1.974414520082985,22.0,0.0
6,0,287,282,21.783169132994615,True,outer_geometry_ridge,1.8704488026709922,22.0,0.0
7,0,288,112,22.4768751754213,True,outer_ellipsoid,12.455221791241271,22.0,0.0
7,0,288,112,22.4768751754213,True,training_shape_template,2.232921879173155,22.0,0.0
7,0,288,112,22.4768751754213,True,outer_geometry_ridge,1.8524250534224762,22.0,0.0
8,0,295,236,21.84453462511162,False,outer_ellipsoid,,,0.0
8,0,295,236,21.84453462511162,False,training_shape_template,,,0.0
8,0,295,236,21.84453462511162,False,outer_geometry_ridge,,,0.0
9,0,305,194,21.759372672192107,True,outer_ellipsoid,23.32662155452222,22.0,0.0
9,0,305,194,21.759372672192107,True,training_shape_template,1.2274399689616189,22.0,0.0
9,0,305,194,21.759372672192107,True,outer_geometry_ridge,1.4448501866972858,22.0,0.0
10,0,307,397,21.06818892218598,True,outer_ellipsoid,18.21128494383864,20.37308167757797,0.0
10,0,307,397,21.06818892218598,True,training_shape_template,1.9639631325535205,20.37308167757797,0.0
10,0,307,397,21.06818892218598,True,outer_geometry_ridge,1.4638988536079065,20.37308167757797,0.0
11,0,308,68,21.59968152687827,True,outer_ellipsoid,24.447577168875874,23.92813375871114,0.0
11,0,308,68,21.59968152687827,True,training_shape_template,3.386268885651106,23.92813375871114,0.0
11,0,308,68,21.59968152687827,True,outer_geometry_ridge,1.6651949695608261,23.92813375871114,0.0
12,0,312,355,20.93331766882863,True,outer_ellipsoid,18.867274618997158,21.940279304068355,0.0
12,0,312,355,20.93331766882863,True,training_shape_template,1.5553401949702224,21.940279304068355,0.0
12,0,312,355,20.93331766882863,True,outer_geometry_ridge,0.9595423864933291,21.940279304068355,0.0
13,0,317,150,22.50355590657864,True,outer_ellipsoid,22.36697975125834,22.398008692315955,0.0
13,0,317,150,22.50355590657864,True,training_shape_template,1.3329917677772416,22.398008692315955,0.0
13,0,317,150,22.50355590657864,True,outer_geometry_ridge,1.190972362842208,22.398008692315955,0.0
14,0,318,314,21.004009105572216,True,outer_ellipsoid,19.063179898546235,23.0,0.0
14,0,318,314,21.004009105572216,True,training_shape_template,1.8434804265536153,23.0,0.0
14,0,318,314,21.004009105572216,True,outer_geometry_ridge,1.5384148079253814,23.0,0.0
15,0,325,272,21.98061847677652,True,outer_ellipsoid,21.402159916898025,22.61356706625648,0.0
15,0,325,272,21.98061847677652,True,training_shape_template,1.8322532563586604,22.61356706625648,0.0
15,0,325,272,21.98061847677652,True,outer_geometry_ridge,1.4236158941343464,22.61356706625648,0.0
16,1,332,105,22.54008895596411,True,outer_ellipsoid,21.809387949458824,23.0,0.0
16,1,332,105,22.54008895596411,True,training_shape_template,1.8273428140214896,23.0,0.0
16,1,332,105,22.54008895596411,True,outer_geometry_ridge,0.9193485345603015,23.0,0.0
17,1,335,226,21.273620163774808,True,outer_ellipsoid,11.857248185507032,23.0,0.0
17,1,335,226,21.273620163774808,True,training_shape_template,2.09569170244453,23.0,0.0
17,1,335,226,21.273620163774808,True,outer_geometry_ridge,1.6697412829384874,23.0,0.0
18,1,343,186,21.54510094268997,True,outer_ellipsoid,20.328675159030478,21.951589905874528,0.0
18,1,343,186,21.54510094268997,True,training_shape_template,1.400900925690089,21.951589905874528,0.0
18,1,343,186,21.54510094268997,True,outer_geometry_ridge,0.9748479789239616,21.951589905874528,0.0
19,1,348,388,20.756233806794576,True,outer_ellipsoid,12.62185680387609,21.37650906819499,0.0
19,1,348,388,20.756233806794576,True,training_shape_template,1.4160962901513199,21.37650906819499,0.0
19,1,348,388,20.756233806794576,True,outer_geometry_ridge,1.0471003077079908,21.37650906819499,0.0
20,1,350,63,21.531866717636536,True,outer_ellipsoid,20.37842007195204,23.0408744569894,0.0
20,1,350,63,21.531866717636536,True,training_shape_template,2.6489483353240058,23.0408744569894,0.0
20,1,350,63,21.531866717636536,True,outer_geometry_ridge,1.5722009085419766,23.0408744569894,0.0
21,1,350,347,20.58812608991859,True,outer_ellipsoid,16.173894929272695,22.0,0.0
21,1,350,347,20.58812608991859,True,training_shape_template,1.9785766481684024,22.0,0.0
21,1,350,347,20.58812608991859,True,outer_geometry_ridge,1.4870239683778286,22.0,0.0
22,1,355,306,21.475489774520568,True,outer_ellipsoid,19.01957007168462,22.986862863134235,0.0
22,1,355,306,21.475489774520568,True,training_shape_template,1.9158547773298689,22.986862863134235,0.0
22,1,355,306,21.475489774520568,True,outer_geometry_ridge,1.1844897838236317,22.986862863134235,0.0
23,1,360,141,22.00847985384437,True,outer_ellipsoid,14.886116798859112,22.43168974323254,0.0
23,1,360,141,22.00847985384437,True,training_shape_template,1.240320981286986,22.43168974323254,0.0
23,1,360,141,22.00847985384437,True,outer_geometry_ridge,0.969966429089383,22.43168974323254,0.0
24,1,364,261,21.671082241407664,True,outer_ellipsoid,16.95393883425461,21.898145458608752,0.0
24,1,364,261,21.671082241407664,True,training_shape_template,1.083742906311162,21.898145458608752,0.0
24,1,364,261,21.671082241407664,True,outer_geometry_ridge,0.9021345743660517,21.898145458608752,0.0
25,1,374,100,22.231005951107456,True,outer_ellipsoid,18.482360758625227,21.91290009243292,0.0
25,1,374,100,22.231005951107456,True,training_shape_template,0.9046252816170954,21.91290009243292,0.0
25,1,374,100,22.231005951107456,True,outer_geometry_ridge,0.7439075134261197,21.91290009243292,0.0
26,1,374,221,21.587343950326655,True,outer_ellipsoid,13.513830280747529,21.868607444876858,0.0
26,1,374,221,21.587343950326655,True,training_shape_template,0.6566904624310614,21.868607444876858,0.0
26,1,374,221,21.587343950326655,True,outer_geometry_ridge,0.7367586408882466,21.868607444876858,0.0
27,1,384,178,22.35610144999383,True,outer_ellipsoid,16.819782926416362,21.610437391002563,0.0
27,1,384,178,22.35610144999383,True,training_shape_template,0.9192700162331169,21.610437391002563,0.0
27,1,384,178,22.35610144999383,True,outer_geometry_ridge,0.7580087610979968,21.610437391002563,0.0
28,1,386,379,20.58506297720969,True,outer_ellipsoid,12.238149053665566,21.909799871904085,0.0
28,1,386,379,20.58506297720969,True,training_shape_template,1.679741825723716,21.909799871904085,0.0
28,1,386,379,20.58506297720969,True,outer_geometry_ridge,1.1800961088448865,21.909799871904085,0.0
29,1,388,336,20.95966065220101,True,outer_ellipsoid,15.139664535127748,21.840840254771308,0.0
29,1,388,336,20.95966065220101,True,training_shape_template,1.3699126354441515,21.840840254771308,0.0
29,1,388,336,20.95966065220101,True,outer_geometry_ridge,1.1089527591224742,21.840840254771308,0.0
30,1,393,59,22.348141580345175,True,outer_ellipsoid,16.652597125346688,22.534762539731872,0.0
30,1,393,59,22.348141580345175,True,training_shape_template,0.8771751086996312,22.534762539731872,0.0
30,1,393,59,22.348141580345175,True,outer_geometry_ridge,1.2481861785984267,22.534762539731872,0.0
31,1,394,296,21.04351657246145,True,outer_ellipsoid,14.697816988320008,22.008718113842207,0.0
31,1,394,296,21.04351657246145,True,training_shape_template,1.3838604653320785,22.008718113842207,0.0
31,1,394,296,21.04351657246145,True,outer_geometry_ridge,1.1054597240252482,22.008718113842207,0.0
32,2,402,135,22.41093483101497,True,outer_ellipsoid,10.797037239086077,21.724938247315833,0.0
32,2,402,135,22.41093483101497,True,training_shape_template,1.1103845511660344,21.724938247315833,0.0
32,2,402,135,22.41093483101497,True,outer_geometry_ridge,0.6858250802275502,21.724938247315833,0.0
33,2,404,254,21.889687083047527,True,outer_ellipsoid,14.272754910676683,21.7542777391254,0.0
33,2,404,254,21.889687083047527,True,training_shape_template,0.8081523357855922,21.7542777391254,0.0
33,2,404,254,21.889687083047527,True,outer_geometry_ridge,0.5630030130704738,21.7542777391254,0.0
34,2,415,211,21.80595043186752,True,outer_ellipsoid,13.473005986323376,20.999999999999943,0.0
34,2,415,211,21.80595043186752,True,training_shape_template,1.297243740525268,20.999999999999943,0.0
34,2,415,211,21.80595043186752,True,outer_geometry_ridge,0.7016391713621472,20.999999999999943,0.0
35,2,420,94,22.444306588619057,True,outer_ellipsoid,11.066344062301857,22.0,0.0
35,2,420,94,22.444306588619057,True,training_shape_template,1.3022886436168377,22.0,0.0
35,2,420,94,22.444306588619057,True,outer_geometry_ridge,0.5264610833888269,22.0,0.0
36,2,424,369,20.12210631421724,True,outer_ellipsoid,9.008701020188001,21.0,0.0
36,2,424,369,20.12210631421724,True,training_shape_template,0.8708944689454212,21.0,0.0
36,2,424,369,20.12210631421724,True,outer_geometry_ridge,0.6506419965540842,21.0,0.0
37,2,424,407,21.58138228527619,True,outer_ellipsoid,11.568741621111041,20.91442592024532,0.0
37,2,424,407,21.58138228527619,True,training_shape_template,1.298934847999325,20.91442592024532,0.0
37,2,424,407,21.58138228527619,True,outer_geometry_ridge,0.848065967311148,20.91442592024532,0.0
38,2,428,328,20.657839639573318,True,outer_ellipsoid,9.596648915419058,21.385038046578074,0.0
38,2,428,328,20.657839639573318,True,training_shape_template,0.9247572741315447,21.385038046578074,0.0
38,2,428,328,20.657839639573318,True,outer_geometry_ridge,0.6549175072952018,21.385038046578074,0.0
39,2,430,170,22.216825188280104,True,outer_ellipsoid,10.809874895362382,21.963464973405905,0.0
39,2,430,170,22.216825188280104,True,training_shape_template,1.0914476502195436,21.963464973405905,0.0
39,2,430,170,22.216825188280104,True,outer_geometry_ridge,0.3780402072219259,21.963464973405905,0.0
40,2,434,287,22.28788626546161,True,outer_ellipsoid,18.052511790693888,20.562202904288768,0.0
40,2,434,287,22.28788626546161,True,training_shape_template,2.2226173265696922,20.562202904288768,0.0
40,2,434,287,22.28788626546161,True,outer_geometry_ridge,1.4835432875995889,20.562202904288768,0.0
41,2,439,55,22.076556588250142,True,outer_ellipsoid,10.001971536145291,22.0,0.0
41,2,439,55,22.076556588250142,True,training_shape_template,0.9317969570004503,22.0,0.0
41,2,439,55,22.076556588250142,True,outer_geometry_ridge,0.6986923462286354,22.0,0.0
42,2,441,240,21.832618989213913,True,outer_ellipsoid,15.833658985604735,19.773733366040176,0.0
42,2,441,240,21.832618989213913,True,training_shape_template,3.6848360885265135,19.773733366040176,0.0
42,2,441,240,21.832618989213913,True,outer_geometry_ridge,3.3513436987665415,19.773733366040176,0.0
43,2,447,130,22.320794912742265,True,outer_ellipsoid,12.057762762609745,21.54716333831186,0.0
43,2,447,130,22.320794912742265,True,training_shape_template,1.2719042828596134,21.54716333831186,0.0
43,2,447,130,22.320794912742265,True,outer_geometry_ridge,0.576271714772475,21.54716333831186,0.0
44,2,458,204,22.14969247774535,True,outer_ellipsoid,13.167487092291042,20.656359938850102,0.0
44,2,458,204,22.14969247774535,True,training_shape_template,1.7814939243693808,20.656359938850102,0.0
44,2,458,204,22.14969247774535,True,outer_geometry_ridge,1.1483425677637238,20.656359938850102,0.0
45,2,458,399,20.578559483070386,True,outer_ellipsoid,8.559511635143329,19.357005017110453,0.0
45,2,458,399,20.578559483070386,True,training_shape_template,1.1450949849556922,19.357005017110453,0.0
45,2,458,399,20.578559483070386,True,outer_geometry_ridge,0.9857510996454529,19.357005017110453,0.0
46,2,461,359,21.064304011488957,True,outer_ellipsoid,14.732269944686738,20.918811032996928,0.0
46,2,461,359,21.064304011488957,True,training_shape_template,1.2567328578134462,20.918811032996928,0.0
46,2,461,359,21.064304011488957,True,outer_geometry_ridge,1.0484214956935844,20.918811032996928,0.0
47,2,466,90,22.251134800241214,True,outer_ellipsoid,10.763412900969836,21.5791492092892,0.0
47,2,466,90,22.251134800241214,True,training_shape_template,1.4762082257972635,21.5791492092892,0.0
47,2,466,90,22.251134800241214,True,outer_geometry_ridge,0.4939079674279155,21.5791492092892,0.0
48,2,466,318,21.818339386619645,True,outer_ellipsoid,17.937088435041012,19.945432485873255,0.0
48,2,466,318,21.818339386619645,True,training_shape_template,2.4514022126311583,19.945432485873255,0.0
48,2,466,318,21.818339386619645,True,outer_geometry_ridge,1.948905799383352,19.945432485873255,0.0
49,3,476,163,22.38861317723811,True,outer_ellipsoid,10.906033388622586,20.99999999999997,0.0
49,3,476,163,22.38861317723811,True,training_shape_template,1.9655838690468053,20.99999999999997,0.0
49,3,476,163,22.38861317723811,True,outer_geometry_ridge,0.882700593624793,20.99999999999997,0.0
50,3,478,277,21.818339386619645,True,outer_ellipsoid,9.710382439327015,20.982134318412164,0.0
50,3,478,277,21.818339386619645,True,training_shape_template,1.5245754535574458,20.982134318412164,0.0
50,3,478,277,21.818339386619645,True,outer_geometry_ridge,0.7358749377323459,20.982134318412164,0.0
51,3,486,50,22.034486560545155,True,outer_ellipsoid,10.256759363757034,21.985608380631533,0.0
51,3,486,50,22.034486560545155,True,training_shape_template,1.0704642933431603,21.985608380631533,0.0
51,3,486,50,22.034486560545155,True,outer_geometry_ridge,0.4727107553430452,21.985608380631533,0.0
52,3,489,238,22.255623654130623,True,outer_ellipsoid,11.944511976098033,21.0,0.0
52,3,489,238,22.255623654130623,True,training_shape_template,1.5472290578200754,21.0,0.0
52,3,489,238,22.255623654130623,True,outer_geometry_ridge,0.7322234097221495,21.0,0.0
53,3,494,122,22.444306588619057,True,outer_ellipsoid,11.272635320826785,21.203519160249357,0.0
53,3,494,122,22.444306588619057,True,training_shape_template,1.863446173914778,21.203519160249357,0.0
53,3,494,122,22.444306588619057,True,outer_geometry_ridge,1.0403987795278946,21.203519160249357,0.0
54,3,499,389,20.680873717682,True,outer_ellipsoid,9.35709135994931,20.939151986838056,0.0
54,3,499,389,20.680873717682,True,training_shape_template,0.7637028349021344,20.939151986838056,0.0
54,3,499,389,20.680873717682,True,outer_geometry_ridge,0.48444130110760536,20.939151986838056,0.0
55,3,502,197,21.983840686714665,True,outer_ellipsoid,12.800707473554223,20.68904921543981,0.0
55,3,502,197,21.983840686714665,True,training_shape_template,1.6478406694530159,20.68904921543981,0.0
55,3,502,197,21.983840686714665,True,outer_geometry_ridge,1.19553001852298,20.68904921543981,0.0
56,3,503,350,21.531882369918716,True,outer_ellipsoid,10.385055956993336,20.942145872845515,0.0
56,3,503,350,21.531882369918716,True,training_shape_template,1.9217936960836897,20.942145872845515,0.0
56,3,503,350,21.531882369918716,True,outer_geometry_ridge,0.9368057631553013,20.942145872845515,0.0
57,3,510,308,21.783169132994615,True,outer_ellipsoid,11.745318208844669,20.851068964142257,0.0
57,3,510,308,21.783169132994615,True,training_shape_template,1.2869950074076888,20.851068964142257,0.0
57,3,510,308,21.783169132994615,True,outer_geometry_ridge,0.6695590414443018,20.851068964142257,0.0
58,3,513,84,21.673689177237407,True,outer_ellipsoid,7.183971152069204,21.06392248510673,0.0
58,3,513,84,21.673689177237407,True,training_shape_template,1.327516770254309,21.06392248510673,0.0
58,3,513,84,21.673689177237407,True,outer_geometry_ridge,0.729606722734043,21.06392248510673,0.0
59,3,519,267,21.044519853912274,True,outer_ellipsoid,8.671197240916669,21.011563655980638,0.0
59,3,519,267,21.044519853912274,True,training_shape_template,1.0714853835225406,21.011563655980638,0.0
59,3,519,267,21.044519853912274,True,outer_geometry_ridge,0.8344020353706162,21.011563655980638,0.0
60,3,521,158,22.56923142267177,True,outer_ellipsoid,12.935673234567968,21.0,0.0
60,3,521,158,22.56923142267177,True,training_shape_template,1.6672738803043137,21.0,0.0
60,3,521,158,22.56923142267177,True,outer_geometry_ridge,0.6797746197342185,21.0,0.0
61,3,537,48,21.446799639126617,True,outer_ellipsoid,3.8900148384719344,21.0,0.0
61,3,537,48,21.446799639126617,True,training_shape_template,1.0555355709785792,21.0,0.0
61,3,537,48,21.446799639126617,True,outer_geometry_ridge,0.9814629473227728,21.0,0.0
62,3,538,378,20.819178957893378,True,outer_ellipsoid,8.592925105977539,20.05822911994443,0.0
62,3,538,378,20.819178957893378,True,training_shape_template,0.9474365642063567,20.05822911994443,0.0
62,3,538,378,20.819178957893378,True,outer_geometry_ridge,0.6770550648685758,20.05822911994443,0.0
63,3,540,231,21.64708877853016,True,outer_ellipsoid,9.836869744966611,20.91009450644094,0.0
63,3,540,231,21.64708877853016,True,training_shape_template,4.003212299739633,20.91009450644094,0.0
63,3,540,231,21.64708877853016,True,outer_geometry_ridge,3.1517539802641097,20.91009450644094,0.0
