lens_id,block,mae_voxels,outer_geometry_mae_voxels
0,0,1.2715078391300154,2.065592523072049
2,0,1.8573977029180895,1.8591119075815528
3,0,0.946903583291601,1.0472725389524506
4,0,0.8979375435786171,1.3671469724597312
5,0,1.5242759382621272,1.3401595596077183
6,0,1.633752278176136,1.8704488026709922
7,0,2.4233920852488593,1.8524250534224762
9,0,0.9108820098656264,1.4448501866972858
10,0,1.8221496730878974,1.4638988536079065
11,0,1.8613491929364232,1.6651949695608261
12,0,0.6099841642863916,0.9595423864933291
13,0,0.9379724097960765,1.190972362842208
14,0,1.0499288772547286,1.5384148079253814
15,0,1.4664479976052716,1.4236158941343464
16,1,1.4640246421656404,0.9193485345603015
17,1,1.2865325300071022,1.6697412829384874
18,1,1.15175601220131,0.9748479789239616
19,1,0.9398217421947891,1.0471003077079908
20,1,1.7575099630781574,1.5722009085419766
21,1,1.041416593045661,1.4870239683778286
22,1,1.351149835692048,1.1844897838236317
23,1,0.9400903758095419,0.969966429089383
24,1,1.2704331274246567,0.9021345743660517
25,1,0.985340916958136,0.7439075134261197
26,1,0.9950532350565341,0.7367586408882466
27,1,0.7186178972960607,0.7580087610979968
28,1,1.0694459742184013,1.1800961088448865
29,1,1.1799241021502738,1.1089527591224742
30,1,1.275301107897457,1.2481861785984267
31,1,1.2710125083243606,1.1054597240252482
32,2,0.5980945577836001,0.6858250802275502
33,2,0.3981464592892734,0.5630030130704738
34,2,0.7682791787661428,0.7016391713621472
35,2,0.8448658354857326,0.5264610833888269
36,2,0.5505801621889422,0.6506419965540842
37,2,1.395911971034673,0.848065967311148
38,2,0.5630852264950135,0.6549175072952018
39,2,0.45320838390300666,0.3780402072219259
40,2,0.971376644173967,1.4835432875995889
41,2,0.6485668760109314,0.6986923462286354
42,2,3.3385707611868085,3.3513436987665415
43,2,0.6589125722170824,0.576271714772475
44,2,0.8068859920166341,1.1483425677637238
45,2,0.8736697309898765,0.9857510996454529
46,2,0.725700891622314,1.0484214956935844
47,2,0.6920312821119494,0.4939079674279155
48,2,1.397311663795572,1.948905799383352
49,3,0.6250457117226722,0.882700593624793
50,3,0.6405380173926853,0.7358749377323459
51,3,0.5788876187111754,0.4727107553430452
52,3,0.7113937999296485,0.7322234097221495
53,3,1.0816768475148175,1.0403987795278946
54,3,0.994896480085126,0.48444130110760536
55,3,1.0535629514906588,1.19553001852298
56,3,1.0754841804299904,0.9368057631553013
57,3,0.8598283564650169,0.6695590414443018
58,3,0.7236413637430898,0.729606722734043
59,3,1.1609640320529608,0.8344020353706162
60,3,0.7633187399025094,0.6797746197342185
61,3,1.006525233835786,0.9814629473227728
62,3,1.3847000380008188,0.6770550648685758
63,3,2.8307317440656674,3.1517539802641097
