patch,fold,method,normalised_mae,correlation
1,0,axisymmetric_population,0.16072334289838192,0.6335519659200979
1,0,background,0.15190412239057371,0.7213304657622852
1,0,global_population,0.18560998661548786,0.5475543066838102
1,0,local_population,0.18040567720501283,0.5615044832876914
1,0,nearest_cone,0.1967258058632152,0.5338334627977683
1,1,axisymmetric_population,0.1889417989393052,0.6025576692480664
1,1,background,0.1889898104664197,0.6783633602006122
1,1,global_population,0.1857506713300121,0.5608402828869312
1,1,local_population,0.1849051977561887,0.581366553923096
1,1,nearest_cone,0.205934831140711,0.517343235707058
1,2,axisymmetric_population,0.1722047251015664,0.598520726513662
1,2,background,0.18936336034987417,0.64961909884683
1,2,global_population,0.19645426671855776,0.5126280050133363
1,2,local_population,0.1914457025838227,0.5452783354714607
1,2,nearest_cone,0.2077209984678283,0.5020828066868517
1,3,axisymmetric_population,0.18026167683705774,0.6178095701754711
1,3,background,0.17321377336474036,0.6754381910975291
1,3,global_population,0.1973112686389332,0.5602723130552085
1,3,local_population,0.19725600112059577,0.5453055982101385
1,3,nearest_cone,0.2130798092717957,0.5305751144070515
1,4,axisymmetric_population,0.16955636676320568,0.6027592734133782
1,4,background,0.16319927558282984,0.6861533398527271
1,4,global_population,0.1946815827100566,0.5419425170168546
1,4,local_population,0.1920088941188369,0.5444543123643047
1,4,nearest_cone,0.2029345030923682,0.5212508824919886
2,0,axisymmetric_population,0.182114586747109,0.5725502366509145
2,0,background,0.18081123573054855,0.6462768490551114
2,0,global_population,0.20397694387426318,0.4940703776567196
2,0,local_population,0.20784392180079803,0.4870500225959683
2,0,nearest_cone,0.21716030417830912,0.5286255165418445
2,1,axisymmetric_population,0.22529391815925942,0.5273774262932464
2,1,background,0.2456497327060524,0.45621782109981673
2,1,global_population,0.2253772469837919,0.5669299154979379
2,1,local_population,0.19904084524634755,0.6435863324272079
2,1,nearest_cone,0.20300146472630692,0.6541436586849616
2,2,axisymmetric_population,0.18077868496600108,0.5867757477507101
2,2,background,0.17857031262968454,0.6619249779235681
2,2,global_population,0.2156636389102159,0.41316694285444056
2,2,local_population,0.21260299118953405,0.4354266386437135
2,2,nearest_cone,0.22861928425045153,0.3855468572485724
2,3,axisymmetric_population,0.1797948416703413,0.5767176102496648
2,3,background,0.1672050147492625,0.694406481919131
2,3,global_population,0.2156637649907468,0.4913605014076063
2,3,local_population,0.21783946303262,0.4910101249478294
2,3,nearest_cone,0.244892635916692,0.4411907939394903
2,4,axisymmetric_population,0.20302164167488557,0.5053904120005318
2,4,background,0.1907559813607235,0.6209929024108863
2,4,global_population,0.23188461837199695,0.41842385536330895
2,4,local_population,0.22035230612560908,0.4493586377989168
2,4,nearest_cone,0.2426547707027148,0.41911464323706027
3,0,axisymmetric_population,0.21363622795240822,0.3111521061802571
3,0,background,0.210693008651137,0.31847900329041784
3,0,global_population,0.2104262324728341,0.47304526554772897
3,0,local_population,0.2104262324728341,0.47304526554772897
3,0,nearest_cone,0.20981705871381795,0.5163754054221528
3,1,axisymmetric_population,0.2699957483040802,0.4914353609996306
3,1,background,0.2783172183983393,0.51221289523515
3,1,global_population,0.3349845353801083,0.3114149867180738
3,1,local_population,0.3349845353801083,0.3114149867180738
3,1,nearest_cone,0.2282537419703998,0.387100716355853
3,2,axisymmetric_population,0.4040824128636046,0.1831143737492113
3,2,background,0.3982701680133385,0.2287257028314935
3,2,global_population,0.5619228558311424,0.0625525621827368
3,2,local_population,0.5619228558311424,0.0625525621827368
3,2,nearest_cone,0.3957522497538427,0.1074587303463829
3,3,axisymmetric_population,0.2399776464045366,0.2520036457326826
3,3,background,0.2256637168141592,0.364263854605846
3,3,global_population,0.2752472746341914,0.186294267047939
3,3,local_population,0.2752472746341914,0.186294267047939
3,3,nearest_cone,0.307895659876644,-0.0251890715131388
3,4,axisymmetric_population,0.2924315250550465,0.2658422235430224
3,4,background,0.2937385868801798,0.2612415202890233
3,4,global_population,0.2730006267126525,0.3966767438312334
3,4,local_population,0.2730006267126525,0.3966767438312334
3,4,nearest_cone,0.2602603118995371,0.4613515874053724

