cone_id,nodes,depth_start,depth_stop,observed_skew_1,observed_skew_2,normal_rmse_voxels,primary_idw_rmse_voxels,secondary_affine_rmse_voxels,secondary_constant_rmse_voxels,oracle_straight_rmse_voxels,oracle_quadratic_rmse_voxels,normal_endpoint_error_voxels,primary_idw_endpoint_error_voxels
1,38,17.0,60.0,-0.18779645711207638,-0.17108794097321242,6.4439781368146525,1.0810015461548275,8.5078352838543,13.67321131397467,0.4936987759743353,0.4747862857445259,9.93359809515715,1.694648912439804
2,24,32.0,55.0,-0.2538650360512136,-0.2537245661410994,4.8268326216218265,1.6154592566520285,3.1134132880630347,8.264949872026556,0.3870339440600662,0.2739397254376504,7.707307601891939,2.5717998017231225
3,24,33.0,56.0,-0.22263309573359802,-0.1978182102435387,3.807808174334638,0.7870707524785637,3.914207876820584,7.433944488938906,0.3402711638043285,0.3340373727777055,6.530436497588272,1.265389791602771
4,41,15.0,60.0,-0.15385440454623847,-0.13870217304526014,5.770060351996402,1.4378686218528909,9.618782188976335,13.33346451713857,0.4876527565388211,0.4070353943647752,9.738615050115744,2.209831571641009
6,37,18.0,60.0,-0.21292474468567402,-0.189049751920132,7.6263678682787,1.5108633501289237,7.296263944228998,14.240950466688886,0.5583112141732433,0.4406406417065441,11.795140090699714,2.1141378718591284
7,38,16.0,60.0,-0.1488538359613908,-0.1607022109653066,6.098432849732032,1.8770700152883757,8.779468573213101,14.322026039677343,0.4410070805516524,0.4371472845482417,9.554654595791988,2.9552509656884816
9,12,17.0,28.0,-0.21547658090633073,-0.1525646457514281,1.4204559444102707,0.6818265039079905,2.5247785328136634,3.234514606280562,0.42205656486372545,0.37204625960967336,2.423795813900952,0.523842258448651
10,40,16.0,60.0,-0.1806503857900639,-0.1739930736899907,6.093430996158632,1.5703237306044235,8.707217151531193,13.824545266179824,0.4695971748516417,0.4103380874105842,10.429535199304606,1.9849635889914714
11,28,33.0,60.0,-0.2109385403207392,-0.17304668356603267,4.709954183603433,0.8588066255721395,4.861645690503858,8.417322723745439,0.5059347485056618,0.49394570909895325,7.96403757939376,1.2685435683762774
12,25,32.0,60.0,-0.2564509083414636,-0.25706682909039763,5.019622769671453,1.654987001881453,3.457152838606174,8.681988701005567,0.5894448596574688,0.5857682919966378,10.204386069516065,3.4849221070861622
13,25,34.0,60.0,-0.2607935240049951,-0.24118297528432803,5.422737283783227,1.7314408934389585,3.6933558369766843,8.956374066827255,0.4096410378164882,0.3525722311285658,9.127906032444454,2.878403121108997
14,17,31.0,48.0,-0.1939182638468058,-0.27064768629664626,3.0587943455062696,1.3957965819159115,2.61407916793621,6.3441468175673705,0.4661407523782516,0.44004210030648855,4.8356198137307755,2.1493288095244694
15,29,32.0,60.0,-0.17464316302456348,-0.170146493381389,3.597079886329641,1.0207422143579157,5.677098309924449,8.19205770329983,0.5229240724330372,0.4462238085718424,7.099789342410242,1.2020059391394453
