volume,eye,method,n_lens_predictions,median_lens_mae_um,median_normalized_mae
20231107,0,axisymmetric_ellipsoid,115,22.92512420988195,0.9687363941450609
20231107,0,graph_harmonic_depth_shared_shape,115,2.5088582269158044,0.0967452803000714
20231107,0,nearest_visible_surface,115,2.6179955050868586,0.12157645761322018
20231107,0,same_eye_outer_ridge,115,5.070506793919507,0.17103002507264223
20231107,0,same_eye_template,115,5.341213148465841,0.18653771565929675
20231107,0,six_neighbor_depth_shared_shape,115,2.645003850247071,0.11388667723340294
20231107,0,six_neighbor_surface,115,2.6028197948266096,0.10965935089044875
20231107,1,axisymmetric_ellipsoid,109,22.277565235564122,0.9374408128530222
20231107,1,graph_harmonic_depth_shared_shape,109,2.502044171711465,0.09539424650483204
20231107,1,nearest_visible_surface,109,2.4096467252778093,0.09746732454812826
20231107,1,same_eye_outer_ridge,109,4.4444607844894195,0.1695109934128636
20231107,1,same_eye_template,109,5.472074484153373,0.22738981185766863
20231107,1,six_neighbor_depth_shared_shape,109,2.632726568109523,0.10706077350786329
20231107,1,six_neighbor_surface,109,2.5211933356107608,0.10384882975595326
20240530,0,axisymmetric_ellipsoid,125,11.819823990033633,0.8195235303538754
20240530,0,graph_harmonic_depth_shared_shape,125,1.257459704165094,0.0769443859819519
20240530,0,nearest_visible_surface,125,0.936795351637981,0.060573327804191994
20240530,0,same_eye_outer_ridge,125,1.1284266269715129,0.08328406958413319
20240530,0,same_eye_template,125,1.9917309492803188,0.11720309287444784
20240530,0,six_neighbor_depth_shared_shape,125,1.1460777992394302,0.07074364380338893
20240530,0,six_neighbor_surface,125,0.9769154576834833,0.05824715132635012
20240530,1,axisymmetric_ellipsoid,123,10.280893016221683,0.7323203529686619
20240530,1,graph_harmonic_depth_shared_shape,123,1.2124392793349261,0.07692205668530572
20240530,1,nearest_visible_surface,123,0.879185497460024,0.059097264842033495
20240530,1,same_eye_outer_ridge,123,1.2897342519708854,0.08836837449148842
20240530,1,same_eye_template,123,1.7151718165439886,0.10452617422243046
20240530,1,six_neighbor_depth_shared_shape,123,1.2078971420423277,0.07858774011633733
20240530,1,six_neighbor_surface,123,1.1088268528443337,0.0756892598437583
20240701,0,axisymmetric_ellipsoid,122,8.377066058682807,0.6324032726221216
20240701,0,graph_harmonic_depth_shared_shape,122,1.345647691943174,0.09685904895721714
20240701,0,nearest_visible_surface,122,1.024506219640164,0.08254972328611607
20240701,0,same_eye_outer_ridge,122,1.6118173177408117,0.11661322818233924
20240701,0,same_eye_template,122,2.0266659158194,0.13667085938761075
20240701,0,six_neighbor_depth_shared_shape,122,1.4172111416321227,0.10675731299331728
20240701,0,six_neighbor_surface,122,1.2458117697977926,0.09227459176848463
20240701,1,axisymmetric_ellipsoid,121,7.069104978441108,0.5490668250010745
20240701,1,graph_harmonic_depth_shared_shape,121,1.330712063440978,0.09610331654204222
20240701,1,nearest_visible_surface,121,0.888034443891469,0.07169143799430013
20240701,1,same_eye_outer_ridge,121,1.2567915150362008,0.08856448894778754
20240701,1,same_eye_template,121,2.0205718279031704,0.14675684316524656
20240701,1,six_neighbor_depth_shared_shape,121,1.4501079696125896,0.10321269153801312
20240701,1,six_neighbor_surface,121,1.2358068287949682,0.08238144722615195
