test_volume,n_lenses,median_template_minus_outer_ridge_um,bootstrap_ci_low_um,bootstrap_ci_high_um,outer_ridge_wins,outer_ridge_win_fraction
20231107,1528,0.22116593076102564,0.20694461592970753,0.2344834356448949,1156,0.756544502617801
20240530,1575,0.0839562103777407,0.07443921040387069,0.09422143940592423,1004,0.6374603174603175
pooled_test_volumes,3103,0.13808945284868557,0.12793447212956188,0.15053814025918655,2160,0.6961005478569127
