volume,survival_fraction,method,n_eyes,median_eye_mae_um,worst_eye_mae_um,median_eye_normalized_mae,worst_eye_normalized_mae
20231107,0.01,donor_template,2,3.1849874960951423,3.2688482280380864,0.11018113552229064,0.11499463507706913
20231107,0.01,nearest_visible_surface,2,3.025082569172791,3.1341803391946965,0.10368359929367821,0.10557859881991716
20231107,0.01,six_neighbor_depth_shared_shape,2,2.765441475157413,2.7724432335164217,0.09468107569429529,0.09587625098808564
20231107,0.01,six_neighbor_surface,2,2.8023513067747463,2.8323323172315256,0.09486358078557744,0.09575697528728533
20231107,0.02,donor_template,2,3.00958951472004,3.0251406650215764,0.10183453748884866,0.10258024812883199
20231107,0.02,nearest_visible_surface,2,2.725131358325014,2.823503511025417,0.09238317501522406,0.09367588757151837
20231107,0.02,six_neighbor_depth_shared_shape,2,2.261335775005354,2.2984343504443303,0.07771369350526251,0.07937037655462031
20231107,0.02,six_neighbor_surface,2,2.260840659995062,2.289095572374671,0.07903111336078152,0.08023522160350324
20231107,0.05,donor_template,2,3.006319936676583,3.0391168928967045,0.10139607390244251,0.10239540130583498
20231107,0.05,nearest_visible_surface,2,2.184096803091231,2.311508646561432,0.07641757303588081,0.0785797709937384
20231107,0.05,six_neighbor_depth_shared_shape,2,1.841381651507018,1.9480820347902645,0.06501826487777435,0.06702488189760042
20231107,0.05,six_neighbor_surface,2,1.862533391572606,1.9632533447463691,0.06594362907980095,0.06817056697847279
20231107,0.1,donor_template,2,2.99424563931866,3.0115945359452794,0.1015686432118684,0.10215268451667346
20231107,0.1,nearest_visible_surface,2,1.889589188551044,2.0084801945109025,0.06652812371783286,0.06954636050631616
20231107,0.1,six_neighbor_depth_shared_shape,2,1.6206728745634598,1.7225787193259654,0.05630462519131269,0.05827221294271435
20231107,0.1,six_neighbor_surface,2,1.631067597541111,1.7264383875977107,0.05691010671061689,0.059372406592061035
20231107,0.2,donor_template,2,2.995298191318292,3.0055930444023256,0.10124064552441285,0.1020110052014711
20231107,0.2,nearest_visible_surface,2,1.6357884283749418,1.7846681057683615,0.05731431089544052,0.061453812387901076
20231107,0.2,six_neighbor_depth_shared_shape,2,1.3582328224231537,1.4560900261821652,0.04808559225056325,0.05058915186614411
20231107,0.2,six_neighbor_surface,2,1.3678437666099055,1.4715462654969933,0.048264995795864796,0.0508574242415024
20231107,0.4,donor_template,2,2.9967326121304563,3.021448208773533,0.10113038507003733,0.1027695560237013
20231107,0.4,nearest_visible_surface,2,1.4779068077418622,1.630642505811184,0.05183806498776721,0.056441400833385585
20231107,0.4,six_neighbor_depth_shared_shape,2,1.175293866496308,1.2863243027042905,0.04131021106769156,0.044582083395938554
20231107,0.4,six_neighbor_surface,2,1.177448373866491,1.2883359519752668,0.04131198741627428,0.044664686398069364
20240530,0.01,donor_template,2,0.6901099274359053,0.733598750054381,0.04151343525550241,0.043283937849954046
20240530,0.01,nearest_visible_surface,2,0.8594765054628233,0.9325136731363476,0.05281874751916003,0.05657288780410286
20240530,0.01,six_neighbor_depth_shared_shape,2,0.7773666024313842,0.8309274604110383,0.04707184890936965,0.04914548431799215
20240530,0.01,six_neighbor_surface,2,0.8063919416987564,0.8679610455105804,0.04845751170392635,0.0511071201545127
20240530,0.02,donor_template,2,0.6867620499195086,0.7232711309207918,0.04146579866031164,0.043229922227602795
20240530,0.02,nearest_visible_surface,2,0.7666789492104097,0.8387199005633303,0.04713805260104881,0.051228041253343175
20240530,0.02,six_neighbor_depth_shared_shape,2,0.7416360307156666,0.8045954622643879,0.04517688259970208,0.04847781511409228
20240530,0.02,six_neighbor_surface,2,0.7677725618366276,0.854176742273879,0.04684908024688372,0.051389800883967114
20240530,0.05,donor_template,2,0.6872558771233345,0.720583825102783,0.04108895943237177,0.04209529068615697
20240530,0.05,nearest_visible_surface,2,0.6277619037393174,0.6539062309880201,0.03893187807435981,0.04054337266935994
20240530,0.05,six_neighbor_depth_shared_shape,2,0.6147084977766292,0.658208543675473,0.037712692327129926,0.039668622224663504
20240530,0.05,six_neighbor_surface,2,0.6304587850267387,0.6675518078642653,0.03803494852107424,0.03970226160443895
20240530,0.1,donor_template,2,0.6705248072961753,0.6844470867708082,0.04038400142805669,0.040539548331303146
20240530,0.1,nearest_visible_surface,2,0.5510983519828531,0.5764414853341473,0.03390973422019685,0.034894285609220324
20240530,0.1,six_neighbor_depth_shared_shape,2,0.5289829431896722,0.5487628444400311,0.032263885211580606,0.03310433815621733
20240530,0.1,six_neighbor_surface,2,0.5404512455908075,0.5702459477172164,0.033377916286140674,0.034897355442540086
20240530,0.2,donor_template,2,0.6739233942854945,0.6991617546557791,0.040289209653122424,0.040852419686943336
20240530,0.2,nearest_visible_surface,2,0.48827778332233995,0.5087795483334842,0.030148919226374707,0.03130254080739595
20240530,0.2,six_neighbor_depth_shared_shape,2,0.4701508938216573,0.4981274929609675,0.028813674915159973,0.030206409083265207
20240530,0.2,six_neighbor_surface,2,0.4684905999057344,0.49083304360580793,0.028630784602631812,0.029763505304636687
20240530,0.4,donor_template,2,0.6649615876266427,0.6889684250978515,0.03981946214040172,0.040544706589027174
20240530,0.4,nearest_visible_surface,2,0.44575549329624764,0.46181933478288467,0.02740908571681685,0.028269992884721713
20240530,0.4,six_neighbor_depth_shared_shape,2,0.4057258173197674,0.4309334384807031,0.024768380689762306,0.02574904447822319
20240530,0.4,six_neighbor_surface,2,0.4004065442391419,0.4187773340787415,0.024473972758038726,0.025476337308312377
20240701,0.01,donor_template,2,0.9440263164554774,0.9552910034989792,0.06690410369523248,0.0672380659304197
20240701,0.01,nearest_visible_surface,2,1.256663835692731,1.3285508996621345,0.09034909503990288,0.09545255879091868
20240701,0.01,six_neighbor_depth_shared_shape,2,1.008828402172612,1.0830616435125626,0.07328138353812133,0.07879351236609669
20240701,0.01,six_neighbor_surface,2,1.0416401758792309,1.089487768788826,0.07555411646169488,0.0813261913997028
20240701,0.02,donor_template,2,0.9312463089160636,0.9546281270197124,0.065872250038087,0.06738120843241403
20240701,0.02,nearest_visible_surface,2,1.0983030661828521,1.1781210520784573,0.07954185620003898,0.08503488049876379
20240701,0.02,six_neighbor_depth_shared_shape,2,0.9412861900408347,1.0249897134225787,0.06780536903535805,0.0736363398489071
20240701,0.02,six_neighbor_surface,2,0.9709032867017098,1.049486108925987,0.06975041383210853,0.07566666606172685
20240701,0.05,donor_template,2,0.9128046917697672,0.9426079742746831,0.06466308342131048,0.06570216928946163
20240701,0.05,nearest_visible_surface,2,0.9141211616148575,0.9291239658622404,0.06704786536737922,0.06761802268731601
20240701,0.05,six_neighbor_depth_shared_shape,2,0.8231143252823387,0.8614015472701333,0.05992599664311069,0.06232400111651645
20240701,0.05,six_neighbor_surface,2,0.8507577181641304,0.880512802056495,0.0617789505573917,0.06304967695162159
20240701,0.1,donor_template,2,0.91168985627959,0.9366195706404407,0.06427448253673687,0.06528120550441459
20240701,0.1,nearest_visible_surface,2,0.8180588112085008,0.8189732085368497,0.0598539397377708,0.05986128111714208
20240701,0.1,six_neighbor_depth_shared_shape,2,0.7433874258101381,0.7732435640197853,0.05424502691447976,0.05638435773325235
20240701,0.1,six_neighbor_surface,2,0.7608807565166196,0.7827186894483973,0.0559366011316927,0.05744480540654916
20240701,0.2,donor_template,2,0.8936280352061459,0.9089878068210762,0.06368507267500531,0.06431751201822676
20240701,0.2,nearest_visible_surface,2,0.7285040239562209,0.7407708739659373,0.05366055752022067,0.053781907434471546
20240701,0.2,six_neighbor_depth_shared_shape,2,0.6622570359212502,0.6824323819547178,0.048404597605921584,0.049944772926820195
20240701,0.2,six_neighbor_surface,2,0.676808439644643,0.691786305507671,0.04965271068620418,0.05092166513630289
20240701,0.4,donor_template,2,0.8987174059286009,0.9172317181075845,0.06352028499235461,0.0639369361736049
20240701,0.4,nearest_visible_surface,2,0.659557551591218,0.6670391735177225,0.048791727859153436,0.04906534185149965
20240701,0.4,six_neighbor_depth_shared_shape,2,0.5991826415726216,0.6062326084868981,0.043574166581323744,0.043677066826982816
20240701,0.4,six_neighbor_surface,2,0.5880060000496055,0.5924871303674543,0.043589400641470315,0.04364145433694615
