volume,eye,repeat,survival_fraction,n_distal_graph_nodes,n_potential_donors,n_usable_target_qc_donors,n_resolvable_test_lenses,n_target_qc_test_lenses,prediction_available
20231107,0,18,0.4,797,319,303,472,454,True
20231107,0,19,0.01,797,8,7,779,750,True
20231107,0,19,0.02,797,16,15,771,742,True
20231107,0,19,0.05,797,40,39,747,718,True
20231107,0,19,0.1,797,80,77,707,680,True
20231107,0,19,0.2,797,160,155,627,602,True
20231107,0,19,0.4,797,319,306,468,451,True
20231107,0,20,0.01,797,8,8,779,749,True
20231107,0,20,0.02,797,16,16,771,741,True
20231107,0,20,0.05,797,40,40,747,717,True
20231107,0,20,0.1,797,80,75,708,682,True
20231107,0,20,0.2,797,160,152,629,605,True
20231107,0,20,0.4,797,319,299,475,458,True
20231107,0,21,0.01,797,8,8,779,749,True
20231107,0,21,0.02,797,16,16,771,741,True
20231107,0,21,0.05,797,40,40,747,717,True
20231107,0,21,0.1,797,80,78,708,679,True
20231107,0,21,0.2,797,160,154,630,603,True
20231107,0,21,0.4,797,319,307,473,450,True
20231107,0,22,0.01,797,8,8,779,749,True
20231107,0,22,0.02,797,16,15,772,742,True
20231107,0,22,0.05,797,40,38,748,719,True
20231107,0,22,0.1,797,80,78,708,679,True
20231107,0,22,0.2,797,160,151,628,606,True
20231107,0,22,0.4,797,319,306,469,451,True
20231107,0,23,0.01,797,8,8,779,749,True
20231107,0,23,0.02,797,16,16,771,741,True
20231107,0,23,0.05,797,40,40,747,717,True
20231107,0,23,0.1,797,80,80,707,677,True
20231107,0,23,0.2,797,160,153,629,604,True
20231107,0,23,0.4,797,319,301,472,456,True
20231107,0,24,0.01,797,8,8,779,749,True
20231107,0,24,0.02,797,16,16,771,741,True
20231107,0,24,0.05,797,40,39,747,718,True
20231107,0,24,0.1,797,80,76,708,681,True
20231107,0,24,0.2,797,160,153,630,604,True
20231107,0,24,0.4,797,319,307,472,450,True
20231107,1,0,0.01,810,9,9,792,762,True
20231107,1,0,0.02,810,17,17,784,754,True
20231107,1,0,0.05,810,41,39,760,732,True
20231107,1,0,0.1,810,81,78,720,693,True
20231107,1,0,0.2,810,162,154,641,617,True
20231107,1,0,0.4,810,324,307,480,464,True
20231107,1,1,0.01,810,9,9,792,762,True
20231107,1,1,0.02,810,17,17,784,754,True
20231107,1,1,0.05,810,41,39,760,732,True
20231107,1,1,0.1,810,81,78,720,693,True
20231107,1,1,0.2,810,162,155,640,616,True
20231107,1,1,0.4,810,324,303,479,468,True
20231107,1,2,0.01,810,9,8,792,763,True
20231107,1,2,0.02,810,17,14,784,757,True
20231107,1,2,0.05,810,41,37,760,734,True
20231107,1,2,0.1,810,81,73,722,698,True
20231107,1,2,0.2,810,162,153,641,618,True
20231107,1,2,0.4,810,324,309,481,462,True
20231107,1,3,0.01,810,9,8,792,763,True
20231107,1,3,0.02,810,17,16,784,755,True
20231107,1,3,0.05,810,41,40,760,731,True
20231107,1,3,0.1,810,81,78,721,693,True
20231107,1,3,0.2,810,162,155,641,616,True
20231107,1,3,0.4,810,324,307,481,464,True
20231107,1,4,0.01,810,9,9,792,762,True
20231107,1,4,0.02,810,17,17,784,754,True
20231107,1,4,0.05,810,41,40,760,731,True
20231107,1,4,0.1,810,81,78,720,693,True
20231107,1,4,0.2,810,162,155,640,616,True
20231107,1,4,0.4,810,324,311,478,460,True
20231107,1,5,0.01,810,9,9,792,762,True
20231107,1,5,0.02,810,17,16,784,755,True
20231107,1,5,0.05,810,41,40,760,731,True
20231107,1,5,0.1,810,81,77,720,694,True
20231107,1,5,0.2,810,162,153,640,618,True
20231107,1,5,0.4,810,324,307,479,464,True
20231107,1,6,0.01,810,9,9,792,762,True
20231107,1,6,0.02,810,17,17,784,754,True
20231107,1,6,0.05,810,41,40,760,731,True
20231107,1,6,0.1,810,81,80,720,691,True
20231107,1,6,0.2,810,162,157,639,614,True
20231107,1,6,0.4,810,324,314,478,457,True
20231107,1,7,0.01,810,9,9,792,762,True
20231107,1,7,0.02,810,17,17,784,754,True
20231107,1,7,0.05,810,41,40,760,731,True
20231107,1,7,0.1,810,81,76,721,695,True
20231107,1,7,0.2,810,162,151,642,620,True
20231107,1,7,0.4,810,324,305,482,466,True
20231107,1,8,0.01,810,9,8,792,763,True
20231107,1,8,0.02,810,17,16,784,755,True
20231107,1,8,0.05,810,41,39,760,732,True
20231107,1,8,0.1,810,81,76,720,695,True
20231107,1,8,0.2,810,162,152,640,619,True
20231107,1,8,0.4,810,324,311,481,460,True
20231107,1,9,0.01,810,9,9,792,762,True
20231107,1,9,0.02,810,17,17,784,754,True
20231107,1,9,0.05,810,41,39,760,732,True
20231107,1,9,0.1,810,81,76,721,695,True
20231107,1,9,0.2,810,162,154,641,617,True
20231107,1,9,0.4,810,324,310,479,461,True
20231107,1,10,0.01,810,9,9,792,762,True
20231107,1,10,0.02,810,17,17,784,754,True
20231107,1,10,0.05,810,41,38,760,733,True
20231107,1,10,0.1,810,81,78,720,693,True
20231107,1,10,0.2,810,162,157,640,614,True
20231107,1,10,0.4,810,324,311,480,460,True
20231107,1,11,0.01,810,9,8,792,763,True
20231107,1,11,0.02,810,17,15,784,756,True
20231107,1,11,0.05,810,41,37,760,734,True
20231107,1,11,0.1,810,81,75,720,696,True
20231107,1,11,0.2,810,162,152,641,619,True
20231107,1,11,0.4,810,324,309,480,462,True
20231107,1,12,0.01,810,9,9,792,762,True
20231107,1,12,0.02,810,17,16,785,755,True
20231107,1,12,0.05,810,41,38,762,733,True
20231107,1,12,0.1,810,81,78,722,693,True
20231107,1,12,0.2,810,162,156,641,615,True
20231107,1,12,0.4,810,324,307,479,464,True
20231107,1,13,0.01,810,9,8,792,763,True
20231107,1,13,0.02,810,17,16,784,755,True
20231107,1,13,0.05,810,41,39,761,732,True
20231107,1,13,0.1,810,81,74,722,697,True
20231107,1,13,0.2,810,162,152,642,619,True
20231107,1,13,0.4,810,324,309,481,462,True
20231107,1,14,0.01,810,9,9,792,762,True
20231107,1,14,0.02,810,17,17,784,754,True
20231107,1,14,0.05,810,41,41,760,730,True
20231107,1,14,0.1,810,81,78,720,693,True
20231107,1,14,0.2,810,162,155,640,616,True
20231107,1,14,0.4,810,324,307,480,464,True
20231107,1,15,0.01,810,9,9,792,762,True
20231107,1,15,0.02,810,17,16,784,755,True
20231107,1,15,0.05,810,41,40,760,731,True
20231107,1,15,0.1,810,81,78,720,693,True
20231107,1,15,0.2,810,162,151,642,620,True
20231107,1,15,0.4,810,324,310,481,461,True
20231107,1,16,0.01,810,9,9,792,762,True
20231107,1,16,0.02,810,17,17,784,754,True
20231107,1,16,0.05,810,41,38,761,733,True
20231107,1,16,0.1,810,81,75,723,696,True
20231107,1,16,0.2,810,162,154,643,617,True
20231107,1,16,0.4,810,324,307,483,464,True
20231107,1,17,0.01,810,9,7,793,764,True
20231107,1,17,0.02,810,17,15,785,756,True
20231107,1,17,0.05,810,41,37,762,734,True
20231107,1,17,0.1,810,81,73,723,698,True
20231107,1,17,0.2,810,162,149,645,622,True
20231107,1,17,0.4,810,324,307,484,464,True
20231107,1,18,0.01,810,9,8,792,763,True
20231107,1,18,0.02,810,17,16,784,755,True
20231107,1,18,0.05,810,41,38,761,733,True
20231107,1,18,0.1,810,81,76,721,695,True
20231107,1,18,0.2,810,162,152,642,619,True
20231107,1,18,0.4,810,324,307,480,464,True
20231107,1,19,0.01,810,9,8,793,763,True
20231107,1,19,0.02,810,17,15,785,756,True
20231107,1,19,0.05,810,41,37,762,734,True
20231107,1,19,0.1,810,81,74,722,697,True
20231107,1,19,0.2,810,162,149,642,622,True
20231107,1,19,0.4,810,324,306,482,465,True
20231107,1,20,0.01,810,9,9,792,762,True
20231107,1,20,0.02,810,17,17,784,754,True
20231107,1,20,0.05,810,41,38,761,733,True
20231107,1,20,0.1,810,81,75,721,696,True
20231107,1,20,0.2,810,162,152,641,619,True
20231107,1,20,0.4,810,324,309,481,462,True
20231107,1,21,0.01,810,9,9,792,762,True
