volume,eye,seed_rank,seed_landmark_id,radius_hops,hidden_distal_defined_nodes,target_resolvable_nodes,target_qc_nodes,visible_target_qc_donors
20240701,1,4,89,3,28,28,28,819
20240701,1,5,1246,1,6,6,5,842
20240701,1,5,1246,2,16,16,15,832
20240701,1,5,1246,3,29,29,28,819
20240701,1,6,1324,1,6,6,6,841
20240701,1,6,1324,2,15,15,15,832
20240701,1,6,1324,3,29,29,29,818
20240701,1,7,139,1,6,6,5,842
20240701,1,7,139,2,17,17,15,832
20240701,1,7,139,3,30,30,28,819
