test_volume,method,n_lenses,median_lens_mae_um,bootstrap_ci_low_um,bootstrap_ci_high_um,median_normalized_mae,median_target_depth_um
20231107,axisymmetric_ellipsoid,1508,27.039700769373574,26.74348920944513,27.394460786419373,0.9740459552278409,28.96742041884525
20231107,outer_curvature_ridge,1508,15.034366741819447,14.807411021651493,15.315990016864529,0.5185573958252363,28.96742041884525
20231107,training_volume_template,1508,15.231329821628588,15.030904091353738,15.508849084262689,0.5260646327945746,28.96742041884525
20240530,axisymmetric_ellipsoid,1575,11.526549255804596,11.223722136391913,11.890894622748132,0.7283428577093145,16.351649285877283
20240530,outer_curvature_ridge,1575,2.493195059474194,2.4244795206572265,2.5398401820183376,0.15402013387001978,16.351649285877283
20240530,training_volume_template,1575,2.7181098346472448,2.6587658503576845,2.771849996498049,0.1650250071328314,16.351649285877283
pooled_test_volumes,axisymmetric_ellipsoid,3083,16.287245531924825,16.05469434231892,16.687921691893035,0.9163704957629375,17.677126471835223
pooled_test_volumes,outer_curvature_ridge,3083,3.8873683438047766,3.687710921946053,4.169793054256956,0.22520558901802426,17.677126471835223
pooled_test_volumes,training_volume_template,3083,4.2051133986749205,3.998735663069745,4.569681114780234,0.28304763623088364,17.677126471835223
