alpha,heldout_volume,heldout_median_81pt_normalized_mae
0.01,20231107,0.4808344568626627
0.01,20240530,0.2276621867324678
0.01,20240701,0.47509238040728013
0.01,equal_volume_mean,0.39452967466747024
0.02848035868435802,20231107,0.48083453287203737
0.02848035868435802,20240530,0.2276631818656181
0.02848035868435802,20240701,0.4751013545345937
0.02848035868435802,equal_volume_mean,0.3945330230907497
0.08111308307896872,20231107,0.4808347493400636
0.08111308307896872,20240530,0.22766601578397633
0.08111308307896872,20240701,0.47512691012757674
0.08111308307896872,equal_volume_mean,0.39454255841720554
0.23101297000831592,20231107,0.48083536577254704
0.23101297000831592,20240530,0.2276740848047223
0.23101297000831592,20240701,0.47519966869555336
0.23101297000831592,equal_volume_mean,0.3945697064242742
0.6579332246575679,20231107,0.48083712077661955
0.6579332246575679,20240530,0.22769704880331454
0.6579332246575679,20240701,0.4754066877534983
0.6579332246575679,equal_volume_mean,0.3946469524444775
1.873817422860383,20231107,0.4808421140917175
1.873817422860383,20240530,0.22776231461648971
1.873817422860383,20240701,0.47550413563020594
1.873817422860383,equal_volume_mean,0.39470285477947104
5.336699231206307,20231107,0.4808562949395323
5.336699231206307,20240530,0.22803121280842514
5.336699231206307,20240701,0.47537303669484193
5.336699231206307,equal_volume_mean,0.39475351481426646
15.199110829529332,20231107,0.48090204791316493
15.199110829529332,20240530,0.22834639634099296
15.199110829529332,20240701,0.47628443764422185
15.199110829529332,equal_volume_mean,0.3951776272994599
43.28761281083057,20231107,0.4810978796568294
43.28761281083057,20240530,0.22943210204972936
43.28761281083057,20240701,0.47986058073897875
43.28761281083057,equal_volume_mean,0.3967968541485125
123.28467394420659,20231107,0.4816322572106275
123.28467394420659,20240530,0.23291354940407993
123.28467394420659,20240701,0.4828517660036881
123.28467394420659,equal_volume_mean,0.3991325242061319
351.11917342151276,20231107,0.4811788550909398
351.11917342151276,20240530,0.2388065830412528
351.11917342151276,20240701,0.48405375132704664
351.11917342151276,equal_volume_mean,0.40134639648641307
1000.0,20231107,0.4810812518443226
1000.0,20240530,0.2519209933596599
1000.0,20240701,0.496037773654058
1000.0,equal_volume_mean,0.4096800062860135
