volume,eye,repeat,survival_fraction,method,n_test_lenses,median_lens_mae_um,median_normalized_mae
20231107,0,0,0.01,donor_template,749,3.273772641366325,0.11398436444273721
20231107,0,0,0.01,nearest_visible_surface,749,2.700754949128709,0.09159427872110218
20231107,0,0,0.01,six_neighbor_depth_shared_shape,749,2.1404881900354846,0.07803723511280061
20231107,0,0,0.01,six_neighbor_surface,749,2.1569430063302075,0.07974419514041971
20231107,0,0,0.02,donor_template,741,2.8927750181028906,0.09914980284187715
20231107,0,0,0.02,nearest_visible_surface,741,2.2739186733595194,0.08097077468144394
20231107,0,0,0.02,six_neighbor_depth_shared_shape,741,1.8244019934266362,0.06453596504745877
20231107,0,0,0.02,six_neighbor_surface,741,1.8139069545173931,0.06424111789524195
20231107,0,0,0.05,donor_template,718,2.954142707262403,0.10044419034341659
20231107,0,0,0.05,nearest_visible_surface,718,2.0107748950726125,0.074463909414553
20231107,0,0,0.05,six_neighbor_depth_shared_shape,718,1.4542250250364934,0.05455791205503446
20231107,0,0,0.05,six_neighbor_surface,718,1.5437230401415039,0.056712970779215305
20231107,0,0,0.1,donor_template,682,2.8864317317499646,0.09585721796444538
20231107,0,0,0.1,nearest_visible_surface,682,1.5782314348060602,0.055849603301068966
20231107,0,0,0.1,six_neighbor_depth_shared_shape,682,1.4008572036653284,0.05199820418069008
20231107,0,0,0.1,six_neighbor_surface,682,1.39642847246558,0.05192733155655488
20231107,0,0,0.2,donor_template,607,2.8740488960235013,0.09882149311283141
20231107,0,0,0.2,nearest_visible_surface,607,1.470302892824428,0.05190226576475244
20231107,0,0,0.2,six_neighbor_depth_shared_shape,607,1.134843317669642,0.04134415229923557
20231107,0,0,0.2,six_neighbor_surface,607,1.1550490466189511,0.04150334028454208
20231107,0,0,0.4,donor_template,459,2.869499737892352,0.09730013177039583
20231107,0,0,0.4,nearest_visible_surface,459,1.367719957327762,0.04824707549523225
20231107,0,0,0.4,six_neighbor_depth_shared_shape,459,1.1083278404644932,0.04067213649572658
20231107,0,0,0.4,six_neighbor_surface,459,1.1470913301397894,0.041832807783806124
20231107,0,1,0.01,donor_template,749,2.9242936054660174,0.09984997084889771
