volume,eye,seed_rank,radius_hops,outer_hidden_nodes,target_resolvable_nodes,primary_qc_scored_nodes,visible_qc_training_nodes,unresolvable_nodes,resolvable_qc_fail_nodes,target_reason_counts
20240530,1,2,2,19,19,19,773,0,0,"{""valid"": 19}"
20240530,1,2,3,37,37,37,755,0,0,"{""valid"": 37}"
20240530,1,3,1,7,7,7,785,0,0,"{""valid"": 7}"
20240530,1,3,2,19,19,19,773,0,0,"{""valid"": 19}"
20240530,1,3,3,37,37,37,755,0,0,"{""valid"": 37}"
20240530,1,4,1,7,7,7,785,0,0,"{""valid"": 7}"
20240530,1,4,2,19,19,19,773,0,0,"{""valid"": 19}"
20240530,1,4,3,37,37,37,755,0,0,"{""valid"": 37}"
20240530,1,5,1,7,7,7,785,0,0,"{""valid"": 7}"
20240530,1,5,2,19,19,19,773,0,0,"{""valid"": 19}"
20240530,1,5,3,37,37,37,755,0,0,"{""valid"": 37}"
20240530,1,6,1,7,7,7,785,0,0,"{""valid"": 7}"
20240530,1,6,2,19,19,19,773,0,0,"{""valid"": 19}"
20240530,1,6,3,37,37,37,755,0,0,"{""valid"": 37}"
20240530,1,7,1,7,7,7,785,0,0,"{""valid"": 7}"
20240530,1,7,2,19,19,19,773,0,0,"{""valid"": 19}"
20240530,1,7,3,37,37,37,755,0,0,"{""valid"": 37}"
20240701,0,0,1,7,7,7,825,0,0,"{""valid"": 7}"
20240701,0,0,2,19,19,19,813,0,0,"{""valid"": 19}"
20240701,0,0,3,37,37,37,795,0,0,"{""valid"": 37}"
20240701,0,1,1,7,7,7,825,0,0,"{""valid"": 7}"
20240701,0,1,2,19,19,19,813,0,0,"{""valid"": 19}"
20240701,0,1,3,37,37,37,795,0,0,"{""valid"": 37}"
20240701,0,2,1,7,7,7,825,0,0,"{""valid"": 7}"
20240701,0,2,2,19,19,19,813,0,0,"{""valid"": 19}"
20240701,0,2,3,37,37,37,795,0,0,"{""valid"": 37}"
20240701,0,3,1,7,7,7,825,0,0,"{""valid"": 7}"
20240701,0,3,2,19,19,19,813,0,0,"{""valid"": 19}"
20240701,0,3,3,37,37,37,795,0,0,"{""valid"": 37}"
20240701,0,4,1,7,7,7,825,0,0,"{""valid"": 7}"
20240701,0,4,2,19,19,19,813,0,0,"{""valid"": 19}"
20240701,0,4,3,37,37,37,795,0,0,"{""valid"": 37}"
20240701,0,5,1,7,7,7,825,0,0,"{""valid"": 7}"
20240701,0,5,2,19,19,19,813,0,0,"{""valid"": 19}"
20240701,0,5,3,37,37,37,795,0,0,"{""valid"": 37}"
20240701,0,6,1,7,7,7,825,0,0,"{""valid"": 7}"
20240701,0,6,2,19,19,19,813,0,0,"{""valid"": 19}"
20240701,0,6,3,37,37,37,795,0,0,"{""valid"": 37}"
20240701,0,7,1,7,7,7,825,0,0,"{""valid"": 7}"
20240701,0,7,2,19,19,19,813,0,0,"{""valid"": 19}"
20240701,0,7,3,37,37,37,795,0,0,"{""valid"": 37}"
20240701,1,0,1,7,7,7,840,0,0,"{""valid"": 7}"
20240701,1,0,2,19,19,19,828,0,0,"{""valid"": 19}"
20240701,1,0,3,37,37,37,810,0,0,"{""valid"": 37}"
20240701,1,1,1,7,7,7,840,0,0,"{""valid"": 7}"
20240701,1,1,2,19,19,19,828,0,0,"{""valid"": 19}"
20240701,1,1,3,37,37,37,810,0,0,"{""valid"": 37}"
20240701,1,2,1,7,7,7,840,0,0,"{""valid"": 7}"
20240701,1,2,2,19,19,19,828,0,0,"{""valid"": 19}"
20240701,1,2,3,37,37,37,810,0,0,"{""valid"": 37}"
20240701,1,3,1,7,7,7,840,0,0,"{""valid"": 7}"
20240701,1,3,2,19,19,19,828,0,0,"{""valid"": 19}"
20240701,1,3,3,37,37,37,810,0,0,"{""valid"": 37}"
20240701,1,4,1,7,7,7,840,0,0,"{""valid"": 7}"
20240701,1,4,2,19,19,19,828,0,0,"{""valid"": 19}"
20240701,1,4,3,37,37,37,810,0,0,"{""valid"": 37}"
20240701,1,5,1,7,7,7,840,0,0,"{""valid"": 7}"
20240701,1,5,2,19,19,19,828,0,0,"{""valid"": 19}"
20240701,1,5,3,37,37,37,810,0,0,"{""valid"": 37}"
20240701,1,6,1,7,7,7,840,0,0,"{""valid"": 7}"
20240701,1,6,2,19,19,19,828,0,0,"{""valid"": 19}"
20240701,1,6,3,37,37,37,810,0,0,"{""valid"": 37}"
20240701,1,7,1,7,7,7,840,0,0,"{""valid"": 7}"
20240701,1,7,2,19,19,19,828,0,0,"{""valid"": 19}"
20240701,1,7,3,37,37,37,810,0,0,"{""valid"": 37}"
