test_eye,method,n_lenses,median_lens_mae_um,bootstrap_ci_low_um,bootstrap_ci_high_um,median_normalized_mae,median_target_depth_um
0,axisymmetric_ellipsoid,832,9.157810462440043,8.460371453588793,9.974134455743098,0.6932409703615866,13.836234208186589
0,outer_curvature_ridge,832,0.8975454548963413,0.8423769538312623,0.9587150216655512,0.06407570543759025,13.836234208186589
0,train_eye_template,832,0.9287974759366451,0.834452428546608,1.0050075663527664,0.06515771962345772,13.836234208186589
1,axisymmetric_ellipsoid,847,7.96429165979553,7.397278016837519,8.631604325739637,0.5782891667996046,13.777071737653266
1,outer_curvature_ridge,847,0.8351328733592213,0.8017755555183794,0.8906859947173577,0.06186643973049782,13.777071737653266
1,train_eye_template,847,0.8661553576043959,0.8312110015927863,0.9273500002076187,0.06251908164746382,13.777071737653266
pooled,axisymmetric_ellipsoid,1679,8.529187682367388,7.964967219332569,8.928294093387592,0.6124918824665238,13.811882179242886
pooled,outer_curvature_ridge,1679,0.8628064599808514,0.8277314879387794,0.9075770043632776,0.06304802687741032,13.811882179242886
pooled,train_eye_template,1679,0.889584701149403,0.849979481429361,0.9391131806957658,0.06359773380853456,13.811882179242886
