volume,eye,seed_rank,radius_hops,method,scored_lenses,median_lens_mae_um,p90_lens_mae_um,median_normalized_mae
20231107,0,0,1,axisymmetric_ellipsoid,7,29.791044675188566,30.875714919088566,0.9999133398097522
20231107,0,0,1,graph_harmonic_depth_shared_shape,7,0.9966550843682584,1.355152549969198,0.03165343916627413
20231107,0,0,1,nearest_visible_surface,7,0.5828947093319734,1.7776003331294885,0.018145056048651773
20231107,0,0,1,same_eye_outer_ridge,7,2.471785375918055,3.928772119430504,0.08497053061598689
20231107,0,0,1,same_eye_template,7,2.469329943123425,3.639093150614956,0.07974115974656054
20231107,0,0,1,six_neighbor_depth_shared_shape,7,0.7540372390802775,1.3986538578641796,0.023472589040244653
20231107,0,0,1,six_neighbor_surface,7,0.7844980241266273,1.3914251776136017,0.024488507235784746
20231107,0,0,2,axisymmetric_ellipsoid,19,29.71604070930792,31.00667851174697,0.9819974157503655
20231107,0,0,2,graph_harmonic_depth_shared_shape,19,0.7930653226571133,1.3796369118593823,0.025235419826577524
20231107,0,0,2,nearest_visible_surface,19,0.5635105755561883,1.8599294257968426,0.017494238915285794
20231107,0,0,2,same_eye_outer_ridge,19,3.1202321817527774,4.569898757124038,0.10080785108074314
20231107,0,0,2,same_eye_template,19,2.5675748539000276,4.094532435200692,0.08291374636113596
20231107,0,0,2,six_neighbor_depth_shared_shape,19,0.7569533404772102,1.240328181177314,0.024596167002138073
20231107,0,0,2,six_neighbor_surface,19,0.7570764052215634,1.2179081823954483,0.024938771706579127
20231107,0,0,3,axisymmetric_ellipsoid,37,29.66534839969359,31.91249382454699,0.9845678205438319
20231107,0,0,3,graph_harmonic_depth_shared_shape,37,0.7906550107241672,1.5474234717773339,0.026674600043837402
20231107,0,0,3,nearest_visible_surface,37,0.6732266881275143,2.225615033631521,0.021384859332574165
20231107,0,0,3,same_eye_outer_ridge,37,3.0478612333175867,4.758041494188566,0.098755648376187
20231107,0,0,3,same_eye_template,37,2.4680985604565557,4.641541185787195,0.08008047250277556
20231107,0,0,3,six_neighbor_depth_shared_shape,37,0.6268803422067699,1.602587638378861,0.020000377687115895
20231107,0,0,3,six_neighbor_surface,37,0.6419964303251299,1.6222627531617635,0.019846647056024534
20231107,0,1,1,axisymmetric_ellipsoid,7,25.547042044105858,28.785379931066082,0.9665552437468631
20231107,0,1,1,graph_harmonic_depth_shared_shape,7,2.2880990520740006,2.8659720067366927,0.07683851679078807
20231107,0,1,1,nearest_visible_surface,7,2.1323422448844735,4.72229151990042,0.087547423387335
20231107,0,1,1,same_eye_outer_ridge,7,2.979382514342849,4.841643286463453,0.12232429528690773
20231107,0,1,1,same_eye_template,7,1.7742302722808236,4.485575251627824,0.06271466076551352
20231107,0,1,1,six_neighbor_depth_shared_shape,7,1.741174621066738,2.651182391340414,0.059257759168877426
20231107,0,1,1,six_neighbor_surface,7,1.713700482606609,2.615659324473327,0.05895038573235916
20231107,0,1,2,axisymmetric_ellipsoid,19,24.9175170026336,27.79120342701513,0.9711143889440721
20231107,0,1,2,graph_harmonic_depth_shared_shape,19,1.1262581647116945,2.989213705749505,0.045025437139354176
20231107,0,1,2,nearest_visible_surface,19,1.6445108391535317,3.2106076277493143,0.0535030272023405
20231107,0,1,2,same_eye_outer_ridge,19,3.026623963408115,4.673857815983849,0.12426388409009825
20231107,0,1,2,same_eye_template,19,1.5427990602206034,6.136698979387777,0.05661406989634584
20231107,0,1,2,six_neighbor_depth_shared_shape,19,1.482938042283284,2.176455854776036,0.054043560499240806
20231107,0,1,2,six_neighbor_surface,19,1.4877721172576952,2.1653862406871887,0.05459481847507594
20231107,0,1,3,axisymmetric_ellipsoid,37,24.9175170026336,28.912618491577547,0.9894540205670042
20231107,0,1,3,graph_harmonic_depth_shared_shape,37,1.0311830994464217,2.809208542447196,0.04395345772468338
20231107,0,1,3,nearest_visible_surface,37,2.1451620057669363,3.5889116984631766,0.07378390112428591
20231107,0,1,3,same_eye_outer_ridge,37,2.3860607724307004,4.961612503170505,0.09447137092867164
20231107,0,1,3,same_eye_template,37,1.7725406185637629,6.837439636484259,0.06549104987245141
20231107,0,1,3,six_neighbor_depth_shared_shape,37,1.750353113286847,3.1686805961054607,0.06523500300950374
20231107,0,1,3,six_neighbor_surface,37,1.746525475028008,3.170456428372584,0.06580048692890739
20231107,0,2,1,axisymmetric_ellipsoid,7,18.800644266193267,22.749984675730847,0.9856147774035288
20231107,0,2,1,graph_harmonic_depth_shared_shape,7,1.514853903704056,2.183606823120808,0.07781511723083727
20231107,0,2,1,nearest_visible_surface,7,1.7651453980414065,2.080125507904576,0.0811987715785295
20231107,0,2,1,same_eye_outer_ridge,7,8.70223136398251,9.602089834674983,0.45621031424697545
20231107,0,2,1,same_eye_template,7,9.648646901851698,10.945100067080013,0.5058256958520365
20231107,0,2,1,six_neighbor_depth_shared_shape,7,0.9413009752593654,1.7483333522010869,0.04893349417916485
20231107,0,2,1,six_neighbor_surface,7,0.9756039325441641,1.6751648371197434,0.05114556922592212
20231107,0,2,2,axisymmetric_ellipsoid,19,18.165670645044912,23.748058685530758,0.9502087586126958
20231107,0,2,2,graph_harmonic_depth_shared_shape,19,1.415783807933973,2.2343653446125407,0.06400400814409307
20231107,0,2,2,nearest_visible_surface,19,1.064231837538137,3.667839449579892,0.04534928662801675
20231107,0,2,2,same_eye_outer_ridge,19,7.818391145341629,9.88393800840908,0.3957394634506405
20231107,0,2,2,same_eye_template,19,9.058533610784771,11.025035488876174,0.4585111136218189
20231107,0,2,2,six_neighbor_depth_shared_shape,19,1.1593421897339262,2.843485745138431,0.05793906463781002
20231107,0,2,2,six_neighbor_surface,19,1.14841419205293,2.8317079291529184,0.05845995213525761
20231107,0,2,3,axisymmetric_ellipsoid,37,18.800644266193267,24.724434342478972,0.9527330617602184
20231107,0,2,3,graph_harmonic_depth_shared_shape,37,1.4812075916821792,2.6332117561017423,0.07004427100868955
20231107,0,2,3,nearest_visible_surface,37,1.216312667750342,3.325193943505991,0.0698257544924165
20231107,0,2,3,same_eye_outer_ridge,37,7.666837855639008,11.276911224621976,0.38136095935660896
20231107,0,2,3,same_eye_template,37,8.605604351581173,11.61675747812418,0.4235134111342501
20231107,0,2,3,six_neighbor_depth_shared_shape,37,1.2395913053447714,3.2907397230226323,0.059998518469760426
20231107,0,2,3,six_neighbor_surface,37,1.2392451774384012,3.278874260902171,0.058955490681820814
20231107,0,3,1,axisymmetric_ellipsoid,7,29.201295795580073,30.23694357929756,0.9861313733824457
20231107,0,3,1,graph_harmonic_depth_shared_shape,7,1.231976552867521,1.6709638144668144,0.04160400067719277
20231107,0,3,1,nearest_visible_surface,7,0.9418840371555331,2.2021493609771126,0.032210986151362204
20231107,0,3,1,same_eye_outer_ridge,7,1.195805845007042,2.1794627543449616,0.04034725789769165
20231107,0,3,1,same_eye_template,7,1.1829780898313271,1.7771486833248746,0.039936523702770885
20231107,0,3,1,six_neighbor_depth_shared_shape,7,0.923153149841034,2.3646656070754153,0.031174996132632606
20231107,0,3,1,six_neighbor_surface,7,0.9553812674079052,2.41102409264164,0.03226334365187386
20231107,0,3,2,axisymmetric_ellipsoid,19,29.494630642452503,31.91590453138689,0.9825362304963853
20231107,0,3,2,graph_harmonic_depth_shared_shape,19,1.2091252649442583,2.0860907987957518,0.03794202737546968
20231107,0,3,2,nearest_visible_surface,19,1.2407166404297831,2.680320633264527,0.04243060180034564
20231107,0,3,2,same_eye_outer_ridge,19,0.9814558890995373,6.135580323102757,0.03242861947536317
20231107,0,3,2,same_eye_template,19,1.6555856427123539,5.288627516243869,0.05490388047344644
20231107,0,3,2,six_neighbor_depth_shared_shape,19,1.0626400558829812,2.3028763347663634,0.035885486214543065
20231107,0,3,2,six_neighbor_surface,19,1.0818454073510368,2.3123475994745433,0.03653405331074545
20231107,0,3,3,axisymmetric_ellipsoid,37,29.53970639001702,33.38953401162793,0.9840005372719649
20231107,0,3,3,graph_harmonic_depth_shared_shape,37,1.6049305857779135,2.264218953439305,0.05137997450347402
20231107,0,3,3,nearest_visible_surface,37,1.143188255545845,2.7472331188686305,0.03264126736330661
20231107,0,3,3,same_eye_outer_ridge,37,1.929675942303157,6.463317687523278,0.06102458922383741
20231107,0,3,3,same_eye_template,37,1.9681170064785984,6.024899739438723,0.06507093800317316
20231107,0,3,3,six_neighbor_depth_shared_shape,37,1.3136110968595285,2.1481211098107416,0.04284856892697794
20231107,0,3,3,six_neighbor_surface,37,1.3228373021455995,2.1260201421016713,0.042452860032134034
20231107,0,4,1,axisymmetric_ellipsoid,7,23.590395909394264,28.54012072067915,0.9801902761756472
20231107,0,4,1,graph_harmonic_depth_shared_shape,7,1.6136416179931157,1.8725813259903588,0.05565849851956409
20231107,0,4,1,nearest_visible_surface,7,1.8449987703635087,3.844106104509607,0.07112146920097376
20231107,0,4,1,same_eye_outer_ridge,7,2.1429659664320475,6.026250635299594,0.07992963202035813
20231107,0,4,1,same_eye_template,7,1.9306596958924287,6.042981058488619,0.0720109051970386
20231107,0,4,1,six_neighbor_depth_shared_shape,7,0.9403468151517406,1.2672916895444861,0.04161944887569201
