cohort,volume,radius_hops,method,n_eyes,n_patches,n_lenses,median_lens_mae_um,p90_lens_mae_um,median_normalized_mae,median_central_depth_abs_error_um,median_normal_error_degrees,median_target_depth_um
primary_target_qc,20231107,1,axisymmetric_ellipsoid,2,16,112,28.760173153905022,31.988017120071813,0.978917955987296,28.74017283093254,7.5586371413288695,30.069884907365463
primary_target_qc,20231107,1,graph_harmonic_depth_shared_shape,2,16,112,1.032597454949396,2.35340897145848,0.034741863935850575,1.0029355553170607,8.978725312108175,30.069884907365463
primary_target_qc,20231107,1,nearest_visible_surface,2,16,112,1.2009624784882684,3.2329978681658638,0.04138333228528035,1.0266770628391377,10.046963712266024,30.069884907365463
primary_target_qc,20231107,1,same_eye_outer_ridge,2,16,112,2.25125388675495,5.415109153745617,0.07516963943604021,2.2244369756548554,6.961742836106993,30.069884907365463
primary_target_qc,20231107,1,same_eye_template,2,16,112,2.042741153990938,5.891492539033973,0.07168190059944263,2.0825373887915717,9.136993209285643,30.069884907365463
primary_target_qc,20231107,1,six_neighbor_depth_shared_shape,2,16,112,1.0194810789324398,2.3855344277560455,0.03581869362254615,0.9965298154759825,8.978725312108214,30.069884907365463
primary_target_qc,20231107,1,six_neighbor_surface,2,16,112,1.0416746207956855,2.369328428456269,0.03842747917970854,1.0006965138716257,8.835689376071446,30.069884907365463
primary_target_qc,20231107,2,axisymmetric_ellipsoid,2,16,304,28.21587980439395,32.490128594110146,0.975357489571376,28.135901785755,7.599469407472522,29.94727707254006
primary_target_qc,20231107,2,graph_harmonic_depth_shared_shape,2,16,304,1.1775483782764957,2.9902340142906847,0.03976077472156812,1.1682184898191466,8.977812553219522,29.94727707254006
primary_target_qc,20231107,2,nearest_visible_surface,2,16,304,1.6400571076993697,4.084077485536712,0.0535447080203668,1.702426648248215,10.728715317439065,29.94727707254006
primary_target_qc,20231107,2,same_eye_outer_ridge,2,16,304,2.5664718598139507,6.141941043999835,0.08574521971761598,2.5536739711213574,6.941158208544641,29.94727707254006
primary_target_qc,20231107,2,same_eye_template,2,16,304,2.4027589536305998,6.561462095097011,0.08265876894210641,2.415457313630453,9.252444238044212,29.94727707254006
primary_target_qc,20231107,2,six_neighbor_depth_shared_shape,2,16,304,1.3160822766098197,3.191235476402216,0.04546492497642765,1.3478376086990256,8.977812553219522,29.94727707254006
primary_target_qc,20231107,2,six_neighbor_surface,2,16,304,1.3372335286505965,3.2096384231621626,0.044772119239658945,1.3641013199894072,8.730682806179594,29.94727707254006
primary_target_qc,20231107,3,axisymmetric_ellipsoid,2,16,592,28.039802985812027,32.5291806249904,0.9767668764957405,27.93735017768683,7.782119567470154,29.779088019453727
primary_target_qc,20231107,3,graph_harmonic_depth_shared_shape,2,16,592,1.3598653603830375,3.239690348729691,0.04735792968060981,1.3692742386572938,9.04788300963909,29.779088019453727
