volume,eye,seed_rank,radius_hops,calibration_patches,calibration_points,calibrated_half_width_um,heldout_qc_lenses,point_coverage,lenses_with_at_least_90pct_point_coverage
20231107,0,0,2,7,10773,3.0766643292331786,19,1.0,19
20231107,0,1,2,7,10773,3.0060174832917497,19,0.9408706952566601,16
20231107,0,2,2,7,10773,2.966399135604604,19,0.8992852501624431,15
20231107,0,3,2,7,10773,2.963903771247981,19,0.8960363872644574,14
20231107,0,4,2,7,10773,2.8955796470970903,19,0.8349577647823262,11
20231107,0,5,2,7,10773,2.7899441676030605,19,0.7173489278752436,11
20231107,0,6,2,7,10773,2.975559245954262,19,0.907732293697206,15
20231107,0,7,2,7,10773,3.0352788766143846,19,0.9649122807017544,18
20231107,1,0,2,7,10773,3.585258324271649,19,0.8109161793372319,11
20231107,1,1,2,7,10773,3.797092800397145,19,0.9707602339181286,18
20231107,1,2,2,7,10773,3.7624580912297105,19,0.9499675113710201,18
20231107,1,3,2,7,10773,3.8381142789558496,19,1.0,19
20231107,1,4,2,7,10773,3.5783455166417504,19,0.8050682261208577,11
20231107,1,5,2,7,10773,3.5707200184451153,19,0.7933723196881092,13
20231107,1,6,2,7,10773,3.789752145976575,19,0.9688109161793372,18
20231107,1,7,2,7,10773,3.6022403371273413,19,0.8278102664067576,14
20240530,0,0,2,7,10773,0.8902161539235998,19,0.7706302794022092,8
20240530,0,1,2,7,10773,1.0616160869664135,19,1.0,19
20240530,0,2,2,7,10773,1.0595909783324764,19,0.9974009096816114,19
20240530,0,3,2,7,10773,1.0539226818834635,19,0.9896036387264457,18
20240530,0,4,2,7,10773,0.9061590347978115,19,0.7933723196881092,14
20240530,0,5,2,7,10773,0.7440721953640121,19,0.5503573749187785,5
20240530,0,6,2,7,10773,1.0603469202905025,19,1.0,19
20240530,0,7,2,7,10773,1.0254665640935983,19,0.9512670565302144,17
20240530,1,0,2,7,10773,1.146935040144486,19,0.8297595841455491,11
20240530,1,1,2,7,10773,1.2468276129492644,19,0.9499675113710201,16
20240530,1,2,2,7,10773,1.298471574301475,19,1.0,19
20240530,1,3,2,7,10773,1.297783754659843,19,1.0,19
20240530,1,4,2,7,10773,1.2820030556141155,19,0.9850552306692657,18
20240530,1,5,2,7,10773,1.3021379263021515,19,1.0,19
20240530,1,6,2,7,10773,0.9542433887728663,19,0.4600389863547758,4
20240530,1,7,2,7,10773,1.1944082610085456,19,0.9005847953216374,17
20240701,0,0,2,7,10773,1.4680075132514911,19,0.8862897985705003,15
20240701,0,1,2,7,10773,1.4940299169061468,19,0.9259259259259259,14
20240701,0,2,2,7,10773,1.4787988006746833,19,0.9044834307992202,15
20240701,0,3,2,7,10773,1.5494385110886615,19,1.0,19
20240701,0,4,2,7,10773,1.5032758033069857,19,0.9454191033138402,17
20240701,0,5,2,7,10773,1.2395160981195978,19,0.5042235217673814,5
20240701,0,6,2,7,10773,1.5513833973976325,19,1.0,19
20240701,0,7,2,7,10773,1.4888524896482593,19,0.9220272904483431,13
20240701,1,0,2,7,10773,1.5739837100463205,19,0.8901884340480831,14
20240701,1,1,2,7,10773,1.674588837761501,19,0.9993502274204028,19
20240701,1,2,2,7,10773,1.6637638929968102,19,0.9876543209876543,18
20240701,1,3,2,7,10773,1.556600087201037,19,0.8674463937621832,15
20240701,1,4,2,7,10773,1.6391513744225676,19,0.958414554905783,16
20240701,1,5,2,7,10773,1.674691357418725,19,1.0,19
20240701,1,6,2,7,10773,1.4108987973103329,19,0.6829109811565952,8
20240701,1,7,2,7,10773,1.4759985986251696,19,0.7628330084470435,12
