lens_id,block,z,x,radius_voxels,method,target_valid,mae_voxels,median_target_thickness_voxels,nonpositive_predicted_thickness_fraction
0,0,267,233,20.6690192488564,outer_ellipsoid,True,9.494925735990446,20.0,0.0
0,0,267,233,20.6690192488564,frozen_training_template,True,3.5294215036870225,20.0,0.0
0,0,267,233,20.6690192488564,frozen_outer_geometry,True,1.824682692979204,20.0,0.0
1,0,269,137,21.38893027689461,outer_ellipsoid,True,15.019744104854851,19.022199044939015,0.0
1,0,269,137,21.38893027689461,frozen_training_template,True,4.1256961364287354,19.022199044939015,0.0
1,0,269,137,21.38893027689461,frozen_outer_geometry,True,2.6723408593952565,19.022199044939015,0.0
2,0,276,81,21.70816428178795,outer_ellipsoid,True,11.481375200017654,19.696049050833324,0.0
2,0,276,81,21.70816428178795,frozen_training_template,True,2.5414027944977255,19.696049050833324,0.0
2,0,276,81,21.70816428178795,frozen_outer_geometry,True,1.6074017424400433,19.696049050833324,0.0
3,0,278,272,20.693947312529712,outer_ellipsoid,True,10.706683645935318,20.0,0.0
3,0,278,272,20.693947312529712,frozen_training_template,True,3.841216411930505,20.0,0.0
3,0,278,272,20.693947312529712,frozen_outer_geometry,True,2.1805384391207556,20.0,0.0
4,0,285,313,20.693947312529712,outer_ellipsoid,True,10.438767294577296,20.287386963136242,0.0
4,0,285,313,20.693947312529712,frozen_training_template,True,3.4676531701741045,20.287386963136242,0.0
4,0,285,313,20.693947312529712,frozen_outer_geometry,True,1.3729489932334933,20.287386963136242,0.0
5,0,287,175,20.68846423933813,outer_ellipsoid,True,12.382721527073093,20.0,0.0
5,0,287,175,20.68846423933813,frozen_training_template,True,4.023835196929155,20.0,0.0
5,0,287,175,20.68846423933813,frozen_outer_geometry,True,2.3665818545193176,20.0,0.0
6,0,290,353,20.69450695815771,outer_ellipsoid,True,14.021418828344109,21.0,0.0
6,0,290,353,20.69450695815771,frozen_training_template,True,3.860083437306422,21.0,0.0
6,0,290,353,20.69450695815771,frozen_outer_geometry,True,1.4528051054952513,21.0,0.0
7,0,292,391,20.35313243704762,outer_ellipsoid,True,15.418430911655461,21.451684376440028,0.0
7,0,292,391,20.35313243704762,frozen_training_template,True,4.323618684271924,21.451684376440028,0.0
7,0,292,391,20.35313243704762,frozen_outer_geometry,True,1.9476538160300705,21.451684376440028,0.0
8,0,300,117,20.99322004491578,outer_ellipsoid,True,14.366119361127573,20.182847581135377,0.0
8,0,300,117,20.99322004491578,frozen_training_template,True,3.6251624844575483,20.182847581135377,0.0
8,0,300,117,20.99322004491578,frozen_outer_geometry,True,2.194732797236744,20.182847581135377,0.0
9,0,301,213,20.325331247209874,outer_ellipsoid,True,10.292253303792794,20.30890725078126,0.0
9,0,301,213,20.325331247209874,frozen_training_template,True,3.711993199685357,20.30890725078126,0.0
9,0,301,213,20.325331247209874,frozen_outer_geometry,True,2.03331801829792,20.30890725078126,0.0
10,0,313,58,21.18714059638298,outer_ellipsoid,True,12.985807570302102,20.0,0.0
10,0,313,58,21.18714059638298,frozen_training_template,True,4.344292293100159,20.0,0.0
