region,tracks,prediction_status,median_normal_axis_error_degrees,median_predicted_axis_error_degrees,predicted_wins,normal_local_span_degrees,observed_local_span_degrees,predicted_local_span_degrees,normal_pairwise_geometry_rmse_degrees,predicted_pairwise_geometry_rmse_degrees,normal_tangent_hull_area_sr_approx,observed_tangent_hull_area_sr_approx,predicted_tangent_hull_area_sr_approx,median_normal_nearest_traced_angle_degrees,median_observed_nearest_traced_angle_degrees,median_predicted_nearest_traced_angle_degrees
patch_1,5,training-only leave-one-region-out diagnostic,14.051239335449054,11.921892317165614,4,30.248428125927397,29.88241966054221,24.79929788669348,4.368178158003592,5.046722263653828,0.11602720507228648,0.08313463522375136,0.08544375740385124,12.416481197466782,10.793851253946663,12.127349451481292
patch_2,5,training-only leave-one-region-out diagnostic,18.09814337299993,24.410598460350045,0,36.74683860565236,45.89179692724388,36.73226068671952,5.404055045863774,5.297883213332996,0.10789101443546746,0.18137218604672,0.11197062270116542,14.612407095977323,16.753416130625958,14.93822428852556
patch_3,11,training-only leave-one-region-out diagnostic,29.0455048487392,39.536407555502976,0,35.50499227477742,49.00465434421402,37.508460865649184,8.633055399367516,7.756711177096025,0.18826529166282083,0.29333661721879456,0.20062611616899653,6.64421784082367,17.482013001159295,7.487276237221171
patch_4,13,prospective frozen test,15.26098873511371,3.1185936450062854,13,32.74288720346488,26.444643832853505,30.28543368202957,4.254591325663429,3.557465392606085,0.18173750016997436,0.11886337627487525,0.16505720154623854,7.010948635743944,6.780592659700504,6.533655593174471
