region,cone_id,normal_axis_error_degrees,predicted_axis_error_degrees,predicted_beats_normal,observed_skew_1,observed_skew_2,predicted_skew_1,predicted_skew_2
patch_1,1,15.042413812888492,13.390340297156635,True,-0.1755390335467471,-0.20349133373636744,-0.24058321041596378,0.028327359989148922
patch_1,2,14.051239335449054,11.921892317165614,True,-0.17778054060213055,-0.17616245364036637,-0.24058321041596378,0.028327359989148922
patch_1,3,9.00827843005885,14.804907865396604,False,-0.0476767522831987,-0.15119357877780276,-0.24058321041596378,0.028327359989148922
patch_1,4,18.14487523315464,7.676510715802123,True,-0.31452832277666865,-0.09203635158998771,-0.24058321041596378,0.028327359989148922
patch_1,5,13.064177776576757,11.84220261127435,True,-0.1601809676368785,-0.1678942498892555,-0.24058321041596378,0.028327359989148922
patch_2,1,19.720515281949414,24.410598460350045,False,-0.2580534379942077,-0.24879513949414991,-0.1970610068277074,0.19152510319126517
patch_2,2,15.293700156011464,21.095383422855004,False,-0.19849129675336477,-0.1880866483536834,-0.1970610068277074,0.19152510319126517
patch_2,3,17.84024087746191,19.31087823561089,False,-0.28612613456613006,-0.1473522827936871,-0.1970610068277074,0.19152510319126517
patch_2,4,20.813182996281483,26.17607607578711,False,-0.2534501240810368,-0.28330211008080225,-0.1970610068277074,0.19152510319126517
patch_2,5,18.09814337299993,25.478712271430794,False,-0.18525000680770992,-0.2692399721745352,-0.1970610068277074,0.19152510319126517
patch_3,2,26.899219929731863,33.956889223974855,False,-0.29497064135993495,0.4127440014761021,-0.2267954505915147,-0.22111760626181404
patch_3,3,22.47015047456081,33.70805527032782,False,-0.1354316097902156,0.3908017512848939,-0.2267954505915147,-0.22111760626181404
patch_3,4,24.57850040965587,32.88642134393619,False,-0.2408138589674933,0.3888533675593833,-0.2267954505915147,-0.22111760626181404
patch_3,5,29.790478208357907,39.536407555502976,False,-0.21730714988569155,0.5296379493174104,-0.2267954505915147,-0.22111760626181404
patch_3,6,24.539479097256297,31.066361704135396,False,-0.28982986560352636,0.3527668914274708,-0.2267954505915147,-0.22111760626181404
patch_3,7,34.54161693745045,44.019610316351674,False,-0.25274455338413565,0.6402711983306,-0.2267954505915147,-0.22111760626181404
patch_3,8,30.503895066532635,39.580133705063965,False,-0.24880317432627147,0.5340214640976092,-0.2267954505915147,-0.22111760626181404
patch_3,9,27.31819897119326,37.616584736412406,False,-0.18462556575598055,0.4824187074196544,-0.2267954505915147,-0.22111760626181404
patch_3,10,34.91769636522815,45.88447891249467,False,-0.17585523756879462,0.6755554220820035,-0.2267954505915147,-0.22111760626181404
patch_3,11,29.0455048487392,41.821479167070905,False,-0.0704506596182634,0.5508609926309358,-0.2267954505915147,-0.22111760626181404
patch_3,12,41.25934452799446,52.02509111334818,False,-0.20759115899454766,0.8523496135015605,-0.2267954505915147,-0.22111760626181404
patch_4,1,14.254134379490296,2.1317952869066503,True,-0.18779645711207638,-0.17108794097321242,-0.21063120602372098,-0.14023656669342413
patch_4,2,19.744079899860854,6.430693452119875,True,-0.2538650360512136,-0.2537245661410994,-0.21063120602372098,-0.14023656669342413
patch_4,3,16.584652864642685,3.1818219096338005,True,-0.22263309573359802,-0.1978182102435387,-0.21063120602372098,-0.14023656669342413
patch_4,4,11.703074324073764,3.1185936450062854,True,-0.15385440454623847,-0.13870217304526014,-0.21063120602372098,-0.14023656669342413
patch_4,6,15.89376308065661,2.665188883434304,True,-0.21292474468567402,-0.189049751920132,-0.21063120602372098,-0.14023656669342413
patch_4,7,12.355460322036574,3.6029579242515064,True,-0.1488538359613908,-0.1607022109653066,-0.21063120602372098,-0.14023656669342413
patch_4,9,14.789704858967845,0.7188105095015161,True,-0.21547658090633073,-0.1525646457514281,-0.21063120602372098,-0.14023656669342413
patch_4,10,14.080182433743648,2.508433647658179,True,-0.1806503857900639,-0.1739930736899907,-0.21063120602372098,-0.14023656669342413
patch_4,11,15.26098873511371,1.7966476859607476,True,-0.2109385403207392,-0.17304668356603267,-0.21063120602372098,-0.14023656669342413
patch_4,12,19.956573157802644,6.635235267523952,True,-0.2564509083414636,-0.25706682909039763,-0.21063120602372098,-0.14023656669342413
patch_4,13,19.556144640023636,5.957552423407176,True,-0.2607935240049951,-0.24118297528432803,-0.21063120602372098,-0.14023656669342413
patch_4,14,18.415083995723744,7.123201870611959,True,-0.1939182638468058,-0.27064768629664626,-0.21063120602372098,-0.14023656669342413
patch_4,15,13.702710282157351,2.5993032564487852,True,-0.17464316302456348,-0.170146493381389,-0.21063120602372098,-0.14023656669342413
