cone_id,method,normalised_mae,correlation,path_shift_voxels,straight_fit_rmse_voxels,quadratic_fit_rmse_voxels
2,local_depth_background,0.3702583147121395,0.5127471105346606,2.940261735886343,0.3395815611763094,0.16734510659715687
2,surface_normal_static,0.2973549406220087,0.780964574202061,2.940261735886343,0.3395815611763094,0.16734510659715687
2,oracle_fitted_straight_axis,0.2966469227397527,0.8897772543661993,2.940261735886343,0.3395815611763094,0.16734510659715687
2,oracle_fitted_quadratic_axis,0.2923451573173418,0.9014382405883238,2.940261735886343,0.3395815611763094,0.16734510659715687
2,raw_manual_path,0.28752777621718034,0.891475508233056,2.940261735886343,0.3395815611763094,0.16734510659715687
2,permuted_quadratic_axis,0.284580042487086,0.8940202089871583,2.940261735886343,0.3395815611763094,0.16734510659715687
3,local_depth_background,0.2280060410023761,0.5868724392590977,1.5884095442953268,0.17667524070260246,0.15515530869042654
3,surface_normal_static,0.1335173083813708,0.8151726531356712,1.5884095442953268,0.17667524070260246,0.15515530869042654
3,oracle_fitted_straight_axis,0.1238051705752972,0.8603090751096575,1.5884095442953268,0.17667524070260246,0.15515530869042654
3,oracle_fitted_quadratic_axis,0.12342935661016696,0.861379965417622,1.5884095442953268,0.17667524070260246,0.15515530869042654
3,raw_manual_path,0.12269067217942066,0.861959452343418,1.5884095442953268,0.17667524070260246,0.15515530869042654
3,permuted_quadratic_axis,0.19723369826683956,0.6917699277890182,1.5884095442953268,0.17667524070260246,0.15515530869042654
4,local_depth_background,0.1511735639291668,0.7851767509696396,2.436509016851044,0.4175260841583317,0.3507365197715077
4,surface_normal_static,0.1617410583364569,0.847049463895778,2.436509016851044,0.4175260841583317,0.3507365197715077
4,oracle_fitted_straight_axis,0.11449724663869988,0.9480065575144915,2.436509016851044,0.4175260841583317,0.3507365197715077
4,oracle_fitted_quadratic_axis,0.1126217073409157,0.9449655067873108,2.436509016851044,0.4175260841583317,0.3507365197715077
4,raw_manual_path,0.13401911495976573,0.9264459504769139,2.436509016851044,0.4175260841583317,0.3507365197715077
4,permuted_quadratic_axis,0.12938223830252438,0.9210917071516563,2.436509016851044,0.4175260841583317,0.3507365197715077
5,local_depth_background,0.18459289514973862,0.726993442849075,3.654763525276574,0.44616562515981206,0.35324629432306215
5,surface_normal_static,0.16243872125053282,0.7731059636162181,3.654763525276574,0.44616562515981206,0.35324629432306215
5,oracle_fitted_straight_axis,0.08591481480804279,0.9478772481257236,3.654763525276574,0.44616562515981206,0.35324629432306215
5,oracle_fitted_quadratic_axis,0.08671545820534889,0.9505711301362358,3.654763525276574,0.44616562515981206,0.35324629432306215
5,raw_manual_path,0.1119276494078111,0.9120167378649454,3.654763525276574,0.44616562515981206,0.35324629432306215
5,permuted_quadratic_axis,0.11514306973079577,0.9001018621972607,3.654763525276574,0.44616562515981206,0.35324629432306215
6,local_depth_background,0.17432720679512503,0.7791464375233468,2.451689905261555,0.44616562515981184,0.3640231604801998
6,surface_normal_static,0.14142603406204682,0.8449289513892724,2.451689905261555,0.44616562515981184,0.3640231604801998
6,oracle_fitted_straight_axis,0.09883117005142085,0.9396963719181519,2.451689905261555,0.44616562515981184,0.3640231604801998
6,oracle_fitted_quadratic_axis,0.10364629182485223,0.9299465713100762,2.451689905261555,0.44616562515981184,0.3640231604801998
6,raw_manual_path,0.11559143450215223,0.9148893872999082,2.451689905261555,0.44616562515981184,0.3640231604801998
6,permuted_quadratic_axis,0.09326801609476364,0.9469288104504361,2.451689905261555,0.44616562515981184,0.3640231604801998
