patch,fold,background,axisymmetric_population,global_population,nearest_cone,local_population
1,0,0.22430042488701254,0.21544779351097246,0.2225954187086732,0.25208394109032334,0.21134600880284296
1,1,0.22535208969640014,0.18583647084040447,0.17064314828521576,0.1935854017123136,0.17104136598561048
1,2,0.2236236837641496,0.18838353722586065,0.17458019425240406,0.20919922703182914,0.17500271471400303
1,3,0.22060317708788302,0.2053210738985759,0.19285993937828164,0.21981600200963472,0.193536209806922
1,4,0.2248667624925663,0.21443873520715204,0.21450438122214055,0.24143517264974484,0.22606492321519783
2,0,0.22675440410222478,0.18245007255782647,0.15728088533768306,0.19291985039034257,0.1573745449850523
2,1,0.228376021102791,0.19405830008042846,0.16578828899743037,0.19381045700148147,0.16167879756473322
2,2,0.23430057920945607,0.21057194866887674,0.18631415331823362,0.23067651805067252,0.20654795018928335
2,3,0.23225237370943952,0.20316784150658126,0.17756522874627867,0.19923521384820858,0.16177017263428065
2,4,0.2251828849868694,0.17942208148275324,0.1603994303183114,0.19493637466729774,0.16665186703520374
3,0,0.22622937015442263,0.19471852140203122,0.1696057689023293,0.18840954496660356,0.16472168641028417
3,1,0.22840499389171953,0.2124567683865493,0.20225137043758687,0.18808503996327566,0.1826683926991989
3,2,0.23564844570820426,0.18517956815103426,0.16441700324059136,0.201025738035722,0.17266164939488843
3,3,0.23286738888862055,0.21425546188440786,0.19319029750614383,0.22010527585477271,0.198554462444394
3,4,0.2241960205911273,0.17794790445863748,0.16744364453814378,0.1859573738834516,0.17784779953427968
